scenarioKey,scenario,metric,seedCount,mean,min,max,range
proposal-bond-majority,Proposal bonds + majority,productivity,5,0.265456,0.262444,0.268278,0.005833
proposal-bond-majority,Proposal bonds + majority,compromise,5,0.235433,0.234167,0.236389,0.002222
proposal-bond-majority,Proposal bonds + majority,lowSupport,5,0.000000,0.000000,0.000000,0.000000
proposal-bond-majority,Proposal bonds + majority,welfare,5,0.637711,0.636111,0.641056,0.004944
proposal-bond-majority,Proposal bonds + majority,riskControl,5,0.880944,0.879611,0.881944,0.002333
harm-weighted-majority,Harm-weighted double majority,directionalScore,5,0.574711,0.573833,0.575333,0.001500
harm-weighted-majority,Harm-weighted double majority,productivity,5,0.251911,0.249833,0.254167,0.004333
harm-weighted-majority,Harm-weighted double majority,compromise,5,0.241811,0.239833,0.245778,0.005944
harm-weighted-majority,Harm-weighted double majority,lowSupport,5,0.000000,0.000000,0.000000,0.000000
harm-weighted-majority,Harm-weighted double majority,welfare,5,0.644600,0.642667,0.647111,0.004444
harm-weighted-majority,Harm-weighted double majority,riskControl,5,0.898511,0.897111,0.900278,0.003167
compensation-majority,Compensation amendments + majority,directionalScore,5,0.563544,0.563111,0.564556,0.001444
compensation-majority,Compensation amendments + majority,productivity,5,0.266433,0.264500,0.268444,0.003944
compensation-majority,Compensation amendments + majority,compromise,5,0.235767,0.233611,0.238333,0.004722
compensation-majority,Compensation amendments + majority,lowSupport,5,0.000000,0.000000,0.000000,0.000000
compensation-majority,Compensation amendments + majority,welfare,5,0.633778,0.631944,0.636333,0.004389
compensation-majority,Compensation amendments + majority,riskControl,5,0.855156,0.853500,0.857056,0.003556
law-registry-majority,Active-law registry + majority review,directionalScore,5,0.573033,0.572222,0.573778,0.001556
law-registry-majority,Active-law registry + majority review,productivity,5,0.291133,0.288278,0.293444,0.005167
law-registry-majority,Active-law registry + majority review,compromise,5,0.226022,0.223611,0.228500,0.004889
law-registry-majority,Active-law registry + majority review,lowSupport,5,0.000000,0.000000,0.000000,0.000000
law-registry-majority,Active-law registry + majority review,welfare,5,0.621722,0.620278,0.622778,0.002500
law-registry-majority,Active-law registry + majority review,riskControl,5,0.867278,0.865722,0.868667,0.002944
public-objection-majority,Public objection window + majority,directionalScore,5,0.568856,0.568000,0.569722,0.001722
public-objection-majority,Public objection window + majority,productivity,5,0.200644,0.198556,0.203167,0.004611
public-objection-majority,Public objection window + majority,compromise,5,0.271244,0.269722,0.273667,0.003944
public-objection-majority,Public objection window + majority,lowSupport,5,0.000000,0.000000,0.000000,0.000000
public-objection-majority,Public objection window + majority,welfare,5,0.680378,0.679278,0.681278,0.002000
public-objection-majority,Public objection window + majority,riskControl,5,0.909356,0.907778,0.910444,0.002667
anti-capture-majority-bundle,Majority + anti-capture bundle,directionalScore,5,0.593311,0.592611,0.594333,0.001722
anti-capture-majority-bundle,Majority + anti-capture bundle,productivity,5,0.293711,0.290222,0.296333,0.006111
anti-capture-majority-bundle,Majority + anti-capture bundle,compromise,5,0.239489,0.236833,0.241222,0.004389
anti-capture-majority-bundle,Majority + anti-capture bundle,lowSupport,5,0.000000,0.000000,0.000000,0.000000
anti-capture-majority-bundle,Majority + anti-capture bundle,welfare,5,0.676022,0.673056,0.678611,0.005556
anti-capture-majority-bundle,Majority + anti-capture bundle,riskControl,5,0.899789,0.898444,0.901111,0.002667
risk-routed-majority,Risk-routed majority legislature,directionalScore,5,0.623733,0.622389,0.625222,0.002833
risk-routed-majority,Risk-routed majority legislature,productivity,5,0.461744,0.455889,0.467278,0.011389
risk-routed-majority,Risk-routed majority legislature,compromise,5,0.243278,0.242056,0.244333,0.002278
risk-routed-majority,Risk-routed majority legislature,lowSupport,5,0.000000,0.000000,0.000000,0.000000
risk-routed-majority,Risk-routed majority legislature,welfare,5,0.524289,0.522667,0.526111,0.003444
risk-routed-majority,Risk-routed majority legislature,riskControl,5,0.868111,0.866944,0.869389,0.002444
default-pass,Default pass unless 2/3 block,directionalScore,5,0.650456,0.648611,0.651444,0.002833
default-pass,Default pass unless 2/3 block,productivity,5,0.841022,0.836500,0.845611,0.009111
default-pass,Default pass unless 2/3 block,compromise,5,0.110333,0.109556,0.111278,0.001722
default-pass,Default pass unless 2/3 block,lowSupport,5,0.447978,0.446889,0.451111,0.004222
default-pass,Default pass unless 2/3 block,welfare,5,0.497511,0.496222,0.499444,0.003222
default-pass,Default pass unless 2/3 block,riskControl,5,0.643356,0.641944,0.644444,0.002500
default-pass-challenge,Default pass + challenge vouchers,directionalScore,5,0.616433,0.615111,0.618111,0.003000
default-pass-challenge,Default pass + challenge vouchers,productivity,5,0.670889,0.669000,0.673222,0.004222
default-pass-challenge,Default pass + challenge vouchers,compromise,5,0.129378,0.128389,0.131056,0.002667
default-pass-challenge,Default pass + challenge vouchers,lowSupport,5,0.392489,0.391667,0.393833,0.002167
default-pass-challenge,Default pass + challenge vouchers,welfare,5,0.510189,0.509333,0.511333,0.002000
default-pass-challenge,Default pass + challenge vouchers,riskControl,5,0.703389,0.700722,0.704778,0.004056
default-pass-multiround-mediation-challenge,Default pass + mediation + challenge,directionalScore,5,0.671133,0.670333,0.671889,0.001556
default-pass-multiround-mediation-challenge,Default pass + mediation + challenge,productivity,5,0.783656,0.781611,0.788611,0.007000
default-pass-multiround-mediation-challenge,Default pass + mediation + challenge,compromise,5,0.217311,0.216611,0.218333,0.001722
default-pass-multiround-mediation-challenge,Default pass + mediation + challenge,lowSupport,5,0.299989,0.294722,0.303167,0.008444
default-pass-multiround-mediation-challenge,Default pass + mediation + challenge,welfare,5,0.460922,0.459722,0.461500,0.001778
default-pass-multiround-mediation-challenge,Default pass + mediation + challenge,riskControl,5,0.732222,0.728611,0.735389,0.006778
