cycle,recipient,recipient_type,linkage_status,candidate_id,candidate_name,candidate_office,candidate_office_state,candidate_office_district,district_id,district_context_status,transaction_rows,linked_transaction_rows,raw_transaction_rows,source_schedules,total_amount,outside_spending_rows,outside_spending_amount,district_public_opinion_context_rows,district_public_opinion_issues,district_public_opinion_support_mean,district_public_opinion_turnout_mean,affected_group_share_mean,sponsor_public_law_context_rows,sponsor_public_law_bill_ids,sponsor_public_law_policy_areas,evidence_layers,missing_links,source_urls,claim_boundary
2024,H2IL02172,candidate,candidate_committee_metadata,H2IL02172,"KELLY, ROBIN",House,IL,02,IL-02,house_candidate_district_public_opinion_context,1,1,1,E,60.35,1,60.35,3,house_democratic_preference; house_representative_approval; presidential_democratic_preference,0.711149,0.867167,0.117412,0,,,fec_recipient_metadata; candidate_office_metadata; campaign_finance_transaction_aggregate; house_candidate_district_public_opinion_context,candidate_to_sitting_member_or_sponsor; bill_id_or_issue_topic; committee_of_jurisdiction; legislative_outcome_or_public_law; causal_influence_or_capture_validation,https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip; https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip,"Bounded FEC recipient/candidate district-context inventory only; not candidate-to-sponsor identity resolution, bill-level influence, causal capture validation, private contributor disclosure, public-benefit evidence, or model validation."
2024,H2IL10068,candidate,candidate_committee_metadata,H2IL10068,"SCHNEIDER, BRADLEY S.",House,IL,10,IL-10,house_candidate_district_public_opinion_context,1,1,1,E,60.39,1,60.39,3,house_democratic_preference; house_representative_approval; presidential_democratic_preference,0.580015,0.877127,0.071394,0,,,fec_recipient_metadata; candidate_office_metadata; campaign_finance_transaction_aggregate; house_candidate_district_public_opinion_context,candidate_to_sitting_member_or_sponsor; bill_id_or_issue_topic; committee_of_jurisdiction; legislative_outcome_or_public_law; causal_influence_or_capture_validation,https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip; https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip,"Bounded FEC recipient/candidate district-context inventory only; not candidate-to-sponsor identity resolution, bill-level influence, causal capture validation, private contributor disclosure, public-benefit evidence, or model validation."
2024,H2PA01099,candidate,candidate_committee_metadata,H2PA01099,"EHASZ, ASHLEY",House,PA,01,PA-01,house_candidate_district_public_opinion_context,7,7,7,E,326.56,7,326.56,3,house_democratic_preference; house_representative_approval; presidential_democratic_preference,0.404965,0.930117,0.014338,0,,,fec_recipient_metadata; candidate_office_metadata; campaign_finance_transaction_aggregate; house_candidate_district_public_opinion_context,candidate_to_sitting_member_or_sponsor; bill_id_or_issue_topic; committee_of_jurisdiction; legislative_outcome_or_public_law; causal_influence_or_capture_validation,https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip; https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip,"Bounded FEC recipient/candidate district-context inventory only; not candidate-to-sponsor identity resolution, bill-level influence, causal capture validation, private contributor disclosure, public-benefit evidence, or model validation."
2024,H2PA17103,candidate,candidate_committee_metadata,H2PA17103,"DELUZIO, CHRISTOPHER",House,PA,17,PA-17,house_candidate_district_public_opinion_context,7,7,7,E,398.78,7,398.78,3,house_democratic_preference; house_representative_approval; presidential_democratic_preference,0.478944,0.908630,0.015433,0,,,fec_recipient_metadata; candidate_office_metadata; campaign_finance_transaction_aggregate; house_candidate_district_public_opinion_context,candidate_to_sitting_member_or_sponsor; bill_id_or_issue_topic; committee_of_jurisdiction; legislative_outcome_or_public_law; causal_influence_or_capture_validation,https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip; https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip,"Bounded FEC recipient/candidate district-context inventory only; not candidate-to-sponsor identity resolution, bill-level influence, causal capture validation, private contributor disclosure, public-benefit evidence, or model validation."
2024,H4IL12060,candidate,candidate_committee_metadata,H4IL12060,"BOST, MICHAEL",House,IL,12,IL-12,house_candidate_district_public_opinion_context,1,1,1,E,60.39,1,60.39,3,house_democratic_preference; house_representative_approval; presidential_democratic_preference,0.395766,0.768468,0.164513,0,,,fec_recipient_metadata; candidate_office_metadata; campaign_finance_transaction_aggregate; house_candidate_district_public_opinion_context,candidate_to_sitting_member_or_sponsor; bill_id_or_issue_topic; committee_of_jurisdiction; legislative_outcome_or_public_law; causal_influence_or_capture_validation,https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip; https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip,"Bounded FEC recipient/candidate district-context inventory only; not candidate-to-sponsor identity resolution, bill-level influence, causal capture validation, private contributor disclosure, public-benefit evidence, or model validation."
2024,H4IL18059,candidate,unmatched,H4IL18059,,,,,,candidate_metadata_without_house_district_context,1,0,1,E,60.39,1,60.39,0,,,,,0,,,candidate_office_metadata; campaign_finance_transaction_aggregate,candidate_to_sitting_member_or_sponsor; bill_id_or_issue_topic; committee_of_jurisdiction; legislative_outcome_or_public_law; causal_influence_or_capture_validation; house_district_public_opinion_context,https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip; https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip,"Bounded FEC recipient/candidate district-context inventory only; not candidate-to-sponsor identity resolution, bill-level influence, causal capture validation, private contributor disclosure, public-benefit evidence, or model validation."
2024,H8PA15229,candidate,candidate_committee_metadata,H8PA15229,"WILD, SUSAN",House,PA,07,PA-07,house_candidate_district_public_opinion_context,5,5,5,E,415.22,5,415.22,3,house_democratic_preference; house_representative_approval; presidential_democratic_preference,0.516993,0.872676,0.081045,0,,,fec_recipient_metadata; candidate_office_metadata; campaign_finance_transaction_aggregate; house_candidate_district_public_opinion_context,candidate_to_sitting_member_or_sponsor; bill_id_or_issue_topic; committee_of_jurisdiction; legislative_outcome_or_public_law; causal_influence_or_capture_validation,https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip; https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip,"Bounded FEC recipient/candidate district-context inventory only; not candidate-to-sponsor identity resolution, bill-level influence, causal capture validation, private contributor disclosure, public-benefit evidence, or model validation."
2024,P00009423,candidate,candidate_committee_metadata,P00009423,"HARRIS, KAMALA",President,US,00,,candidate_metadata_without_house_district_context,34,34,34,E,545264.78,34,545264.78,0,,,,,0,,,fec_recipient_metadata; candidate_office_metadata; campaign_finance_transaction_aggregate,candidate_to_sitting_member_or_sponsor; bill_id_or_issue_topic; committee_of_jurisdiction; legislative_outcome_or_public_law; causal_influence_or_capture_validation; house_district_public_opinion_context,https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip; https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip,"Bounded FEC recipient/candidate district-context inventory only; not candidate-to-sponsor identity resolution, bill-level influence, causal capture validation, private contributor disclosure, public-benefit evidence, or model validation."
2024,P80001571,candidate,candidate_committee_metadata,P80001571,"TRUMP, DONALD J.",President,US,00,,candidate_metadata_without_house_district_context,17,17,17,E,456522.19,17,456522.19,0,,,,,0,,,fec_recipient_metadata; candidate_office_metadata; campaign_finance_transaction_aggregate,candidate_to_sitting_member_or_sponsor; bill_id_or_issue_topic; committee_of_jurisdiction; legislative_outcome_or_public_law; causal_influence_or_capture_validation; house_district_public_opinion_context,https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip; https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip,"Bounded FEC recipient/candidate district-context inventory only; not candidate-to-sponsor identity resolution, bill-level influence, causal capture validation, private contributor disclosure, public-benefit evidence, or model validation."
2024,S0AL00230,candidate,candidate_committee_metadata,S0AL00230,"TUBERVILLE, THOMAS H",Senate,AL,00,,candidate_metadata_without_house_district_context,1,1,1,E,1.75,1,1.75,0,,,,,0,,,fec_recipient_metadata; candidate_office_metadata; campaign_finance_transaction_aggregate,candidate_to_sitting_member_or_sponsor; bill_id_or_issue_topic; committee_of_jurisdiction; legislative_outcome_or_public_law; causal_influence_or_capture_validation; house_district_public_opinion_context,https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip; https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip,"Bounded FEC recipient/candidate district-context inventory only; not candidate-to-sponsor identity resolution, bill-level influence, causal capture validation, private contributor disclosure, public-benefit evidence, or model validation."
2024,S0KY00156,candidate,candidate_committee_metadata,S0KY00156,"PAUL, RAND",Senate,KY,00,,candidate_metadata_without_house_district_context,1,1,1,E,2.10,1,2.10,0,,,,,0,,,fec_recipient_metadata; candidate_office_metadata; campaign_finance_transaction_aggregate,candidate_to_sitting_member_or_sponsor; bill_id_or_issue_topic; committee_of_jurisdiction; legislative_outcome_or_public_law; causal_influence_or_capture_validation; house_district_public_opinion_context,https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip; https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip,"Bounded FEC recipient/candidate district-context inventory only; not candidate-to-sponsor identity resolution, bill-level influence, causal capture validation, private contributor disclosure, public-benefit evidence, or model validation."
2024,S0UT00165,candidate,candidate_committee_metadata,S0UT00165,"LEE, MIKE",Senate,UT,00,,candidate_metadata_without_house_district_context,1,1,1,E,1.95,1,1.95,0,,,,,0,,,fec_recipient_metadata; candidate_office_metadata; campaign_finance_transaction_aggregate,candidate_to_sitting_member_or_sponsor; bill_id_or_issue_topic; committee_of_jurisdiction; legislative_outcome_or_public_law; causal_influence_or_capture_validation; house_district_public_opinion_context,https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip; https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip,"Bounded FEC recipient/candidate district-context inventory only; not candidate-to-sponsor identity resolution, bill-level influence, causal capture validation, private contributor disclosure, public-benefit evidence, or model validation."
2024,S0WI00197,candidate,candidate_committee_metadata,S0WI00197,"JOHNSON, RON HAROLD MR.",Senate,WI,00,,candidate_metadata_without_house_district_context,1,1,1,E,3.50,1,3.50,0,,,,,0,,,fec_recipient_metadata; candidate_office_metadata; campaign_finance_transaction_aggregate,candidate_to_sitting_member_or_sponsor; bill_id_or_issue_topic; committee_of_jurisdiction; legislative_outcome_or_public_law; causal_influence_or_capture_validation; house_district_public_opinion_context,https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip; https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip,"Bounded FEC recipient/candidate district-context inventory only; not candidate-to-sponsor identity resolution, bill-level influence, causal capture validation, private contributor disclosure, public-benefit evidence, or model validation."
2024,S2AZ00372,candidate,candidate_committee_metadata,S2AZ00372,"MASTERS, BLAKE",Senate,AZ,00,,candidate_metadata_without_house_district_context,1,1,1,E,16.60,1,16.60,0,,,,,0,,,fec_recipient_metadata; candidate_office_metadata; campaign_finance_transaction_aggregate,candidate_to_sitting_member_or_sponsor; bill_id_or_issue_topic; committee_of_jurisdiction; legislative_outcome_or_public_law; causal_influence_or_capture_validation; house_district_public_opinion_context,https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip; https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip,"Bounded FEC recipient/candidate district-context inventory only; not candidate-to-sponsor identity resolution, bill-level influence, causal capture validation, private contributor disclosure, public-benefit evidence, or model validation."
2024,S2MO00544,candidate,candidate_committee_metadata,S2MO00544,"SCHMITT, ERIC",Senate,MO,00,,candidate_metadata_without_house_district_context,1,1,1,E,3.00,1,3.00,0,,,,,0,,,fec_recipient_metadata; candidate_office_metadata; campaign_finance_transaction_aggregate,candidate_to_sitting_member_or_sponsor; bill_id_or_issue_topic; committee_of_jurisdiction; legislative_outcome_or_public_law; causal_influence_or_capture_validation; house_district_public_opinion_context,https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip; https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip,"Bounded FEC recipient/candidate district-context inventory only; not candidate-to-sponsor identity resolution, bill-level influence, causal capture validation, private contributor disclosure, public-benefit evidence, or model validation."
2024,S2OH00436,candidate,candidate_committee_metadata,S2OH00436,"VANCE, J D",Senate,OH,00,,candidate_metadata_without_house_district_context,1,1,1,E,2.25,1,2.25,0,,,,,0,,,fec_recipient_metadata; candidate_office_metadata; campaign_finance_transaction_aggregate,candidate_to_sitting_member_or_sponsor; bill_id_or_issue_topic; committee_of_jurisdiction; legislative_outcome_or_public_law; causal_influence_or_capture_validation; house_district_public_opinion_context,https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip; https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip,"Bounded FEC recipient/candidate district-context inventory only; not candidate-to-sponsor identity resolution, bill-level influence, causal capture validation, private contributor disclosure, public-benefit evidence, or model validation."
2024,S2TX00312,candidate,candidate_committee_metadata,S2TX00312,"CRUZ, RAFAEL EDWARD TED",Senate,TX,00,,candidate_metadata_without_house_district_context,1,1,1,E,10.00,1,10.00,0,,,,,0,,,fec_recipient_metadata; candidate_office_metadata; campaign_finance_transaction_aggregate,candidate_to_sitting_member_or_sponsor; bill_id_or_issue_topic; committee_of_jurisdiction; legislative_outcome_or_public_law; causal_influence_or_capture_validation; house_district_public_opinion_context,https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip; https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip,"Bounded FEC recipient/candidate district-context inventory only; not candidate-to-sponsor identity resolution, bill-level influence, causal capture validation, private contributor disclosure, public-benefit evidence, or model validation."
2024,S4MT00183,candidate,candidate_committee_metadata,S4MT00183,"SHEEHY, TIM",Senate,MT,00,,candidate_metadata_without_house_district_context,1,1,1,E,29.00,1,29.00,0,,,,,0,,,fec_recipient_metadata; candidate_office_metadata; campaign_finance_transaction_aggregate,candidate_to_sitting_member_or_sponsor; bill_id_or_issue_topic; committee_of_jurisdiction; legislative_outcome_or_public_law; causal_influence_or_capture_validation; house_district_public_opinion_context,https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip; https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip,"Bounded FEC recipient/candidate district-context inventory only; not candidate-to-sponsor identity resolution, bill-level influence, causal capture validation, private contributor disclosure, public-benefit evidence, or model validation."
2024,S4OH00192,candidate,candidate_committee_metadata,S4OH00192,"MORENO, BERNIE",Senate,OH,00,,candidate_metadata_without_house_district_context,1,1,1,E,7.00,1,7.00,0,,,,,0,,,fec_recipient_metadata; candidate_office_metadata; campaign_finance_transaction_aggregate,candidate_to_sitting_member_or_sponsor; bill_id_or_issue_topic; committee_of_jurisdiction; legislative_outcome_or_public_law; causal_influence_or_capture_validation; house_district_public_opinion_context,https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip; https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip,"Bounded FEC recipient/candidate district-context inventory only; not candidate-to-sponsor identity resolution, bill-level influence, causal capture validation, private contributor disclosure, public-benefit evidence, or model validation."
2024,S6PA00217,candidate,candidate_committee_metadata,S6PA00217,"CASEY, ROBERT P. JR.",Senate,PA,00,,candidate_metadata_without_house_district_context,6,6,6,E,1860.52,6,1860.52,0,,,,,0,,,fec_recipient_metadata; candidate_office_metadata; campaign_finance_transaction_aggregate,candidate_to_sitting_member_or_sponsor; bill_id_or_issue_topic; committee_of_jurisdiction; legislative_outcome_or_public_law; causal_influence_or_capture_validation; house_district_public_opinion_context,https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip; https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip,"Bounded FEC recipient/candidate district-context inventory only; not candidate-to-sponsor identity resolution, bill-level influence, causal capture validation, private contributor disclosure, public-benefit evidence, or model validation."
2024,S8FL00273,candidate,candidate_committee_metadata,S8FL00273,"SCOTT, RICK SEN",Senate,FL,00,,candidate_metadata_without_house_district_context,1,1,1,E,3.50,1,3.50,0,,,,,0,,,fec_recipient_metadata; candidate_office_metadata; campaign_finance_transaction_aggregate,candidate_to_sitting_member_or_sponsor; bill_id_or_issue_topic; committee_of_jurisdiction; legislative_outcome_or_public_law; causal_influence_or_capture_validation; house_district_public_opinion_context,https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip; https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip,"Bounded FEC recipient/candidate district-context inventory only; not candidate-to-sponsor identity resolution, bill-level influence, causal capture validation, private contributor disclosure, public-benefit evidence, or model validation."
2024,S8MO00192,candidate,unmatched,S8MO00192,,,,,,candidate_metadata_without_house_district_context,1,0,1,E,8.70,1,8.70,0,,,,,0,,,candidate_office_metadata; campaign_finance_transaction_aggregate,candidate_to_sitting_member_or_sponsor; bill_id_or_issue_topic; committee_of_jurisdiction; legislative_outcome_or_public_law; causal_influence_or_capture_validation; house_district_public_opinion_context,https://www.fec.gov/files/bulk-downloads/2024/cm24.zip; https://www.fec.gov/files/bulk-downloads/2024/cn24.zip; https://www.fec.gov/files/bulk-downloads/2024/ccl24.zip,"Bounded FEC recipient/candidate district-context inventory only; not candidate-to-sponsor identity resolution, bill-level influence, causal capture validation, private contributor disclosure, public-benefit evidence, or model validation."
