calendarPriorityThreshold,specialRuleThreshold,suspensionThreshold,seedCount,runsPerSeed,simulatedBills,committeeAdvanceRate,floorConsiderationRate,advanceToFloorRate,enactmentRate,specialRuleOnlyRouteShare,suspensionOnlyRouteShare,mixedSpecialRuleAndSuspensionRouteShare,otherFloorRouteShare,restrictiveSpecialRuleShare,closedRuleRate,openRuleRate,calendarCapacityDenialRate,floorConsiderationRateError,specialRuleOnlyRouteShareError,suspensionOnlyRouteShareError,mixedSpecialRuleAndSuspensionRouteShareError,otherFloorRouteShareError,floorConsiderationRateStandardizedError,specialRuleOnlyRouteShareStandardizedError,suspensionOnlyRouteShareStandardizedError,mixedSpecialRuleAndSuspensionRouteShareStandardizedError,otherFloorRouteShareStandardizedError,selectionLoss,maximumAbsoluteStandardizedError,selected
0.620000000000,0.375000000000,0.425000000000,20,12,14400,0.105972222222,0.088819444444,0.838138925295,0.034513888889,0.000000000000,0.232212666145,0.767787333855,0.000000000000,1.000000000000,0.058541666667,0.047430555556,0.017152777778,0.008908944204,-0.103333333333,-0.599787333855,0.742454000522,-0.039333333333,0.593929613630,-2.583333333325,-11.995746677091,37.122700026079,-1.311111111100,1530.738171409840,37.122700026079,0
0.620000000000,0.375000000000,0.450000000000,20,12,14400,0.107638888889,0.090069444444,0.836774193548,0.035138888889,0.000000000000,0.231303006939,0.768696993061,0.000000000000,1.000000000000,0.059861111111,0.047777777778,0.017569444444,0.010158944204,-0.103333333333,-0.600696993061,0.743363659728,-0.039333333333,0.677262946963,-2.583333333325,-12.013939861218,37.168182986395,-1.311111111100,1534.659886055189,37.168182986395,0
0.620000000000,0.375000000000,0.475000000000,20,12,14400,0.106527777778,0.088680555556,0.832464146023,0.033611111111,0.000000000000,0.230227094753,0.769772905247,0.000000000000,1.000000000000,0.059722222222,0.046805555556,0.017847222222,0.008770055316,-0.103333333333,-0.601772905247,0.744439571914,-0.039333333333,0.584670354370,-2.583333333325,-12.035458104933,37.221978595684,-1.311111111100,1539.062405253132,37.221978595684,0
0.620000000000,0.375000000000,0.500000000000,20,12,14400,0.106875000000,0.089722222222,0.839506172840,0.034236111111,0.000000000000,0.237616099071,0.762383900929,0.000000000000,1.000000000000,0.059097222222,0.047777777778,0.017152777778,0.009811721982,-0.103333333333,-0.594383900929,0.737050567596,-0.039333333333,0.654114798815,-2.583333333325,-11.887678018576,36.852528379790,-1.311111111100,1508.246226283280,36.852528379790,0
0.620000000000,0.375000000000,0.525000000000,20,12,14400,0.108055555556,0.089652777778,0.829691516710,0.033958333333,0.000000000000,0.243222308288,0.756777691712,0.000000000000,1.000000000000,0.060138888889,0.047916666667,0.018402777778,0.009742277538,-0.103333333333,-0.588777691712,0.731444358379,-0.039333333333,0.649485169185,-2.583333333325,-11.775553834237,36.572217918943,-1.311111111100,1485.005246055347,36.572217918943,0
0.620000000000,0.375000000000,0.550000000000,20,12,14400,0.107013888889,0.089375000000,0.835171966256,0.033888888889,0.000000000000,0.249417249417,0.750582750583,0.000000000000,1.000000000000,0.059444444444,0.047569444444,0.017638888889,0.009464499760,-0.103333333333,-0.582582750583,0.725249417250,-0.039333333333,0.630966650667,-2.583333333325,-11.651655011655,36.262470862488,-1.311111111100,1459.518599934352,36.262470862488,0
0.620000000000,0.375000000000,0.575000000000,20,12,14400,0.106805555556,0.089097222222,0.834200260078,0.033125000000,0.000000000000,0.235385814497,0.764614185503,0.000000000000,1.000000000000,0.059166666667,0.047638888889,0.017708333333,0.009186721982,-0.103333333333,-0.596614185503,0.739280852170,-0.039333333333,0.612448132148,-2.583333333325,-11.932283710055,36.964042608486,-1.311111111100,1517.487556670522,36.964042608486,0
0.620000000000,0.375000000000,0.600000000000,20,12,14400,0.107569444444,0.089305555556,0.830213040671,0.032638888889,0.000000000000,0.234059097978,0.765940902022,0.000000000000,1.000000000000,0.059166666667,0.048402777778,0.018263888889,0.009395055316,-0.103333333333,-0.597940902022,0.740607568689,-0.039333333333,0.626337021037,-2.583333333325,-11.958818040435,37.030378434439,-1.311111111100,1523.047177442618,37.030378434439,0
0.620000000000,0.375000000000,0.625000000000,20,12,14400,0.106458333333,0.088680555556,0.833007175473,0.034027777778,0.000783085356,0.238841033673,0.760375880971,0.000000000000,1.000000000000,0.059305555556,0.047152777778,0.017777777778,0.008770055316,-0.102550247977,-0.593158966327,0.735042547638,-0.039333333333,0.584670354370,-2.563756199417,-11.863179326547,36.752127381901,-1.311111111100,1500.087588448282,36.752127381901,0
0.620000000000,0.375000000000,0.650000000000,20,12,14400,0.108819444444,0.090763888889,0.834077855775,0.036527777778,0.003825554705,0.238714613619,0.757459831676,0.000000000000,1.000000000000,0.060208333333,0.048611111111,0.018055555556,0.010853388649,-0.099507778628,-0.593285386381,0.732126498343,-0.039333333333,0.723559243259,-2.487694465689,-11.865707727620,36.606324917130,-1.311111111100,1489.249217894559,36.606324917130,0
