caseKey,caseName,caseDescription,scenarioKey,scenario,totalBills,potentialBillsPerRun,enactedBills,enactedPerRun,floorPerRun,productivity,floor,avgSupport,welfare,cooperation,compromise,gridlock,accessDenied,committeeRejected,challengeRate,lowSupport,popularFail,policyShift,proposerGain,lobbyCapture,publicAlignment,antiLobbyingSuccess,privateGainRatio,lobbySpendPerBill,defensiveLobbyingShare,captureReturnOnSpend,publicPreferenceDistortion,amendmentRate,amendmentMovement,minorityHarm,concentratedHarmPassage,compensationRate,legitimacy,activeLawWelfare,reversalRate,timeToCorrectBadLaw,statusQuoVolatility,lowSupportActiveLawShare,selectedAlternativeMedianDistance,proposerAgendaAdvantage,alternativeDiversity,statusQuoWinRate,publicBenefitPerLobbyDollar,directLobbySpendShare,agendaLobbySpendShare,informationLobbySpendShare,publicCampaignSpendShare,litigationThreatSpendShare,citizenReviewRate,citizenCertificationRate,citizenLegitimacy,attentionSpendPerBill,objectionWindowRate,repealWindowReversalRate,vetoes,overriddenVetoes
weak-constituency,Weak Constituency Pressure,Members are less responsive to public support.,default-pass-defensive-lobby-cap,Default pass + defensive lobbying cap,9000,60.000,7810,52.067,60.000,0.868,1.000,0.526,0.481,0.457,0.105,0.132,0.000,0.000,0.000,0.456,0.040,0.681,0.653,0.261,0.783,0.996,0.608,0.069,0.370,3.272,0.217,0.000,0.000,0.172,0.799,0.000,0.377,0.000,0.000,0.000,0.681,0.000,0.000,0.000,0.000,0.000,6.043,0.210,0.204,0.194,0.201,0.191,0.000,0.000,0.000,0.000,0.000,0.000,0,0
weak-constituency,Weak Constituency Pressure,Members are less responsive to public support.,default-pass-lobby-channel-bundle,Default pass + channel anti-capture bundle,9000,60.000,7754,51.693,60.000,0.862,1.000,0.531,0.498,0.458,0.107,0.138,0.000,0.000,0.000,0.444,0.031,0.676,0.654,0.226,0.802,0.997,0.551,0.092,0.527,2.114,0.198,0.000,0.000,0.169,0.762,0.000,0.396,0.000,0.000,0.000,0.676,0.000,0.000,0.000,0.000,0.000,4.653,0.210,0.204,0.194,0.200,0.192,0.000,0.000,0.000,0.000,0.000,0.000,0,0
weak-constituency,Weak Constituency Pressure,Members are less responsive to public support.,default-pass-anti-capture-bundle,Default pass + anti-capture bundle,9000,60.000,7076,47.173,57.573,0.786,0.960,0.527,0.500,0.415,0.108,0.214,0.040,0.000,0.000,0.454,0.054,0.612,0.651,0.182,0.791,0.932,0.449,0.000,0.000,0.000,0.209,0.000,0.000,0.159,0.630,0.000,0.390,0.000,0.000,0.000,0.612,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
weak-constituency,Weak Constituency Pressure,Members are less responsive to public support.,default-pass-compensation,Default pass + compensation amendments,9000,60.000,7852,52.347,60.000,0.872,1.000,0.527,0.474,0.460,0.104,0.128,0.000,0.000,0.000,0.451,0.040,0.685,0.654,0.260,0.784,0.994,0.624,0.000,0.000,0.000,0.216,0.000,0.000,0.127,0.903,0.139,0.395,0.000,0.000,0.000,0.685,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
weak-constituency,Weak Constituency Pressure,Members are less responsive to public support.,default-pass-affected-consent,Default pass + affected-group consent,9000,60.000,7105,47.367,53.740,0.789,0.896,0.527,0.495,0.416,0.111,0.211,0.104,0.000,0.000,0.453,0.038,0.599,0.633,0.245,0.788,0.994,0.547,0.000,0.000,0.000,0.212,0.000,0.000,0.127,0.910,0.148,0.411,0.000,0.000,0.000,0.599,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
weak-constituency,Weak Constituency Pressure,Members are less responsive to public support.,default-pass-alternatives-benefit,Default pass + public-benefit alternatives,9000,60.000,8583,57.220,57.253,0.954,0.954,0.579,0.543,0.552,0.454,0.046,0.046,0.000,0.000,0.145,0.000,0.007,0.004,0.235,0.821,1.000,0.502,0.000,0.000,0.000,0.179,0.950,0.595,0.078,0.146,0.000,0.502,0.000,0.000,0.000,0.007,0.000,0.002,0.004,6.000,0.046,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
weak-constituency,Weak Constituency Pressure,Members are less responsive to public support.,default-pass-alternatives-median,Default pass + median-seeking alternatives,9000,60.000,8587,57.247,57.253,0.954,0.954,0.579,0.543,0.553,0.455,0.046,0.046,0.000,0.000,0.148,0.000,0.005,0.002,0.235,0.821,1.000,0.502,0.000,0.000,0.000,0.179,0.954,0.597,0.078,0.142,0.000,0.502,0.000,0.000,0.000,0.005,0.000,0.000,0.002,6.000,0.046,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
weak-constituency,Weak Constituency Pressure,Members are less responsive to public support.,default-pass-alternatives-pairwise,Default pass + pairwise policy tournament,9000,60.000,4883,32.553,32.553,0.543,0.543,0.610,0.632,0.331,0.477,0.457,0.457,0.000,0.000,0.040,0.002,0.005,0.005,0.196,0.790,0.932,0.369,0.000,0.000,0.000,0.210,0.543,0.324,0.044,0.014,0.000,0.632,0.000,0.000,0.000,0.005,0.000,0.001,0.003,6.000,0.457,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
weak-constituency,Weak Constituency Pressure,Members are less responsive to public support.,default-pass-law-registry,Default pass + law registry,9000,60.000,8036,53.573,60.000,0.893,1.000,0.544,0.479,0.486,0.130,0.107,0.000,0.000,0.000,0.405,0.029,0.850,0.598,0.259,0.775,0.996,0.602,0.000,0.000,0.000,0.225,0.000,0.000,0.175,0.831,0.000,0.378,0.552,0.550,5.079,0.850,0.022,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
weak-constituency,Weak Constituency Pressure,Members are less responsive to public support.,default-pass-informed-guarded,Default pass + informed guarded committee,9000,60.000,1755,11.700,11.760,0.195,0.196,0.559,0.637,0.109,0.235,0.805,0.549,0.255,0.000,0.262,0.597,0.065,0.253,0.214,0.847,0.549,0.391,0.000,0.000,0.000,0.153,0.000,0.000,0.084,0.068,0.000,0.536,0.000,0.000,0.000,0.065,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
