caseKey,caseName,caseDescription,scenarioKey,scenario,totalBills,potentialBillsPerRun,enactedBills,enactedPerRun,floorPerRun,productivity,floor,avgSupport,welfare,cooperation,compromise,gridlock,accessDenied,committeeRejected,lowSupport,popularFail,policyShift,proposerGain,vetoes,overriddenVetoes
weak-constituency,Weak Constituency Pressure,Members are less responsive to public support.,presidential-veto,Bicameral majority + presidential veto,9000,60.000,606,4.040,60.000,0.067,1.000,0.609,0.642,0.041,0.285,0.933,0.000,0.000,0.000,0.836,0.017,0.194,410,2
two-party,Two-Party System,Generated legislators sort into two broad parties.,simple-majority,Unicameral simple majority,9000,60.000,2207,14.713,60.000,0.245,1.000,0.598,0.592,0.147,0.209,0.755,0.000,0.000,0.000,0.486,0.099,0.323,0,0
two-party,Two-Party System,Generated legislators sort into two broad parties.,supermajority-60,Unicameral 60 percent passage,9000,60.000,705,4.700,60.000,0.078,1.000,0.667,0.667,0.052,0.337,0.922,0.000,0.000,0.000,0.775,0.017,0.165,0,0
two-party,Two-Party System,Generated legislators sort into two broad parties.,default-pass,Default pass unless 2/3 block,9000,60.000,7563,50.420,60.000,0.840,1.000,0.532,0.468,0.447,0.090,0.160,0.000,0.000,0.454,0.027,0.702,0.699,0,0
two-party,Two-Party System,Generated legislators sort into two broad parties.,default-pass-cost,Default pass + proposal costs,9000,60.000,4480,29.867,31.320,0.498,0.522,0.511,0.452,0.254,0.029,0.502,0.478,0.000,0.504,0.451,0.625,1.127,0,0
two-party,Two-Party System,Generated legislators sort into two broad parties.,default-pass-access,Default pass + proposal access screen,9000,60.000,2965,19.767,22.673,0.329,0.378,0.570,0.557,0.188,0.165,0.671,0.622,0.000,0.342,0.399,0.114,0.245,0,0
two-party,Two-Party System,Generated legislators sort into two broad parties.,default-pass-committee,Default pass + representative committee gate,9000,60.000,2703,18.020,18.187,0.300,0.303,0.569,0.554,0.171,0.167,0.700,0.000,0.697,0.294,0.453,0.154,0.416,0,0
two-party,Two-Party System,Generated legislators sort into two broad parties.,default-pass-guarded,Default pass + access + committee,9000,60.000,1773,11.820,11.887,0.197,0.198,0.596,0.601,0.117,0.219,0.803,0.572,0.230,0.196,0.561,0.064,0.245,0,0
two-party,Two-Party System,Generated legislators sort into two broad parties.,default-pass-informed-guarded,Default pass + informed guarded committee,9000,60.000,1755,11.700,11.753,0.195,0.196,0.587,0.612,0.114,0.218,0.805,0.567,0.237,0.213,0.557,0.064,0.245,0,0
two-party,Two-Party System,Generated legislators sort into two broad parties.,default-pass-cost-guarded,Default pass + costs + informed guardrails,9000,60.000,464,3.093,3.113,0.052,0.052,0.559,0.603,0.029,0.090,0.948,0.867,0.082,0.293,0.877,0.030,0.561,0,0
two-party,Two-Party System,Generated legislators sort into two broad parties.,bicameral-majority,Bicameral simple majority,9000,60.000,1389,9.260,60.000,0.154,1.000,0.628,0.625,0.097,0.253,0.846,0.000,0.000,0.000,0.623,0.048,0.238,0,0
two-party,Two-Party System,Generated legislators sort into two broad parties.,presidential-veto,Bicameral majority + presidential veto,9000,60.000,904,6.027,60.000,0.100,1.000,0.638,0.631,0.064,0.273,0.900,0.000,0.000,0.000,0.742,0.029,0.222,449,7
multi-party,Multi-Party System,Generated legislators sort into five parties.,simple-majority,Unicameral simple majority,9000,60.000,2341,15.607,60.000,0.260,1.000,0.602,0.597,0.157,0.209,0.740,0.000,0.000,0.000,0.455,0.109,0.338,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,supermajority-60,Unicameral 60 percent passage,9000,60.000,795,5.300,60.000,0.088,1.000,0.672,0.673,0.059,0.337,0.912,0.000,0.000,0.000,0.755,0.019,0.157,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,default-pass,Default pass unless 2/3 block,9000,60.000,7642,50.947,60.000,0.849,1.000,0.532,0.468,0.452,0.091,0.151,0.000,0.000,0.454,0.020,0.704,0.694,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,default-pass-cost,Default pass + proposal costs,9000,60.000,4433,29.553,31.360,0.493,0.523,0.512,0.456,0.252,0.030,0.507,0.477,0.000,0.488,0.452,0.619,1.134,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,default-pass-access,Default pass + proposal access screen,9000,60.000,3005,20.033,22.640,0.334,0.377,0.574,0.559,0.192,0.167,0.666,0.623,0.000,0.330,0.389,0.114,0.236,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,default-pass-committee,Default pass + representative committee gate,9000,60.000,2810,18.733,18.893,0.312,0.315,0.573,0.561,0.179,0.171,0.688,0.000,0.685,0.273,0.430,0.168,0.435,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,default-pass-guarded,Default pass + access + committee,9000,60.000,1888,12.587,12.640,0.210,0.211,0.599,0.612,0.126,0.218,0.790,0.580,0.209,0.198,0.547,0.070,0.250,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,default-pass-informed-guarded,Default pass + informed guarded committee,9000,60.000,1782,11.880,11.933,0.198,0.199,0.593,0.618,0.117,0.226,0.802,0.577,0.224,0.195,0.560,0.066,0.250,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,default-pass-cost-guarded,Default pass + costs + informed guardrails,9000,60.000,520,3.467,3.480,0.058,0.058,0.563,0.626,0.033,0.096,0.942,0.864,0.078,0.240,0.866,0.034,0.574,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,bicameral-majority,Bicameral simple majority,9000,60.000,1530,10.200,60.000,0.170,1.000,0.628,0.627,0.107,0.254,0.830,0.000,0.000,0.000,0.599,0.057,0.257,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,presidential-veto,Bicameral majority + presidential veto,9000,60.000,944,6.293,60.000,0.105,1.000,0.645,0.647,0.068,0.282,0.895,0.000,0.000,0.000,0.730,0.030,0.218,495,4
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,simple-majority,Unicameral simple majority,27000,180.000,6565,43.767,180.000,0.243,1.000,0.598,0.593,0.145,0.209,0.757,0.000,0.000,0.000,0.476,0.100,0.330,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,supermajority-60,Unicameral 60 percent passage,27000,180.000,2034,13.560,180.000,0.075,1.000,0.669,0.674,0.050,0.338,0.925,0.000,0.000,0.000,0.777,0.016,0.151,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,default-pass,Default pass unless 2/3 block,27000,180.000,22671,151.140,180.000,0.840,1.000,0.532,0.467,0.447,0.091,0.160,0.000,0.000,0.454,0.028,0.701,0.700,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,default-pass-cost,Default pass + proposal costs,27000,180.000,13384,89.227,93.307,0.496,0.518,0.512,0.447,0.254,0.029,0.504,0.482,0.000,0.493,0.459,0.632,1.148,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,default-pass-access,Default pass + proposal access screen,27000,180.000,8885,59.233,67.680,0.329,0.376,0.572,0.557,0.188,0.169,0.671,0.624,0.000,0.339,0.392,0.113,0.233,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,default-pass-committee,Default pass + representative committee gate,27000,180.000,7903,52.687,53.347,0.293,0.296,0.569,0.560,0.167,0.170,0.707,0.000,0.704,0.286,0.450,0.151,0.418,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,default-pass-guarded,Default pass + access + committee,27000,180.000,5356,35.707,35.880,0.198,0.199,0.594,0.601,0.118,0.218,0.802,0.584,0.217,0.204,0.561,0.065,0.244,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,default-pass-informed-guarded,Default pass + informed guarded committee,27000,180.000,5182,34.547,34.787,0.192,0.193,0.589,0.613,0.113,0.222,0.808,0.577,0.230,0.209,0.559,0.063,0.244,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,default-pass-cost-guarded,Default pass + costs + informed guardrails,27000,180.000,1368,9.120,9.167,0.051,0.051,0.563,0.621,0.029,0.093,0.949,0.875,0.074,0.268,0.880,0.031,0.582,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,bicameral-majority,Bicameral simple majority,27000,180.000,4179,27.860,180.000,0.155,1.000,0.625,0.625,0.097,0.256,0.845,0.000,0.000,0.000,0.619,0.049,0.245,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,presidential-veto,Bicameral majority + presidential veto,27000,180.000,2695,17.967,180.000,0.100,1.000,0.639,0.645,0.064,0.287,0.900,0.000,0.000,0.000,0.735,0.029,0.218,1384,11
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,simple-majority,Unicameral simple majority,45000,300.000,11033,73.553,300.000,0.245,1.000,0.596,0.596,0.146,0.209,0.755,0.000,0.000,0.000,0.481,0.101,0.329,0,0
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,supermajority-60,Unicameral 60 percent passage,45000,300.000,3450,23.000,300.000,0.077,1.000,0.667,0.673,0.051,0.345,0.923,0.000,0.000,0.000,0.782,0.017,0.151,0,0
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,default-pass,Default pass unless 2/3 block,45000,300.000,37730,251.533,300.000,0.838,1.000,0.532,0.469,0.446,0.091,0.162,0.000,0.000,0.455,0.027,0.698,0.696,0,0
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,default-pass-cost,Default pass + proposal costs,45000,300.000,22335,148.900,156.333,0.496,0.521,0.512,0.453,0.254,0.030,0.504,0.479,0.000,0.493,0.451,0.626,1.134,0,0
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,default-pass-access,Default pass + proposal access screen,45000,300.000,14971,99.807,114.627,0.333,0.382,0.573,0.557,0.191,0.168,0.667,0.618,0.000,0.330,0.401,0.115,0.236,0,0
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,default-pass-committee,Default pass + representative committee gate,45000,300.000,13180,87.867,88.867,0.293,0.296,0.570,0.561,0.167,0.174,0.707,0.000,0.704,0.284,0.463,0.150,0.410,0,0
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,default-pass-guarded,Default pass + access + committee,45000,300.000,9149,60.993,61.413,0.203,0.205,0.593,0.603,0.121,0.216,0.797,0.573,0.222,0.198,0.557,0.068,0.248,0,0
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,default-pass-informed-guarded,Default pass + informed guarded committee,45000,300.000,8912,59.413,59.760,0.198,0.199,0.587,0.611,0.116,0.218,0.802,0.572,0.228,0.210,0.562,0.066,0.248,0,0
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,default-pass-cost-guarded,Default pass + costs + informed guardrails,45000,300.000,2322,15.480,15.527,0.052,0.052,0.565,0.617,0.029,0.094,0.948,0.877,0.072,0.264,0.881,0.031,0.578,0,0
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,bicameral-majority,Bicameral simple majority,45000,300.000,7039,46.927,300.000,0.156,1.000,0.624,0.627,0.098,0.257,0.844,0.000,0.000,0.000,0.623,0.049,0.239,0,0
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,presidential-veto,Bicameral majority + presidential veto,45000,300.000,4537,30.247,300.000,0.101,1.000,0.637,0.648,0.064,0.284,0.899,0.000,0.000,0.000,0.740,0.030,0.220,2344,19
lobby-fueled-flooding,Lobby-Fueled Flooding,High proposal pressure with strong lobbying and weaker constituency pressure.,simple-majority,Unicameral simple majority,27000,180.000,5923,39.487,180.000,0.219,1.000,0.590,0.564,0.129,0.208,0.781,0.000,0.000,0.000,0.550,0.092,0.338,0,0
lobby-fueled-flooding,Lobby-Fueled Flooding,High proposal pressure with strong lobbying and weaker constituency pressure.,supermajority-60,Unicameral 60 percent passage,27000,180.000,1634,10.893,180.000,0.061,1.000,0.665,0.630,0.040,0.347,0.939,0.000,0.000,0.000,0.835,0.013,0.148,0,0
lobby-fueled-flooding,Lobby-Fueled Flooding,High proposal pressure with strong lobbying and weaker constituency pressure.,default-pass,Default pass unless 2/3 block,27000,180.000,22703,151.353,180.000,0.841,1.000,0.526,0.454,0.442,0.088,0.159,0.000,0.000,0.472,0.042,0.707,0.703,0,0
lobby-fueled-flooding,Lobby-Fueled Flooding,High proposal pressure with strong lobbying and weaker constituency pressure.,default-pass-cost,Default pass + proposal costs,27000,180.000,13875,92.500,96.687,0.514,0.537,0.513,0.441,0.264,0.032,0.486,0.463,0.000,0.493,0.426,0.640,1.118,0,0
lobby-fueled-flooding,Lobby-Fueled Flooding,High proposal pressure with strong lobbying and weaker constituency pressure.,default-pass-access,Default pass + proposal access screen,27000,180.000,8627,57.513,67.613,0.320,0.376,0.558,0.547,0.178,0.163,0.680,0.624,0.000,0.372,0.410,0.112,0.243,0,0
lobby-fueled-flooding,Lobby-Fueled Flooding,High proposal pressure with strong lobbying and weaker constituency pressure.,default-pass-committee,Default pass + representative committee gate,27000,180.000,7376,49.173,49.807,0.273,0.277,0.561,0.534,0.153,0.170,0.727,0.000,0.723,0.310,0.522,0.141,0.417,0,0
lobby-fueled-flooding,Lobby-Fueled Flooding,High proposal pressure with strong lobbying and weaker constituency pressure.,default-pass-guarded,Default pass + access + committee,27000,180.000,4792,31.947,32.180,0.177,0.179,0.585,0.583,0.104,0.215,0.823,0.582,0.239,0.221,0.611,0.059,0.245,0,0
lobby-fueled-flooding,Lobby-Fueled Flooding,High proposal pressure with strong lobbying and weaker constituency pressure.,default-pass-informed-guarded,Default pass + informed guarded committee,27000,180.000,4835,32.233,32.453,0.179,0.180,0.588,0.581,0.105,0.213,0.821,0.586,0.234,0.227,0.580,0.061,0.256,0,0
lobby-fueled-flooding,Lobby-Fueled Flooding,High proposal pressure with strong lobbying and weaker constituency pressure.,default-pass-cost-guarded,Default pass + costs + informed guardrails,27000,180.000,1633,10.887,10.960,0.060,0.061,0.581,0.579,0.035,0.105,0.940,0.864,0.076,0.234,0.849,0.033,0.508,0,0
lobby-fueled-flooding,Lobby-Fueled Flooding,High proposal pressure with strong lobbying and weaker constituency pressure.,bicameral-majority,Bicameral simple majority,27000,180.000,3487,23.247,180.000,0.129,1.000,0.619,0.595,0.080,0.262,0.871,0.000,0.000,0.000,0.694,0.040,0.233,0,0
lobby-fueled-flooding,Lobby-Fueled Flooding,High proposal pressure with strong lobbying and weaker constituency pressure.,presidential-veto,Bicameral majority + presidential veto,27000,180.000,2153,14.353,180.000,0.080,1.000,0.631,0.619,0.050,0.285,0.920,0.000,0.000,0.000,0.799,0.023,0.223,1181,9
low-compromise-flooding,Low-Compromise Flooding,High proposal pressure in a low-compromise legislature.,simple-majority,Unicameral simple majority,27000,180.000,4022,26.813,180.000,0.149,1.000,0.575,0.599,0.086,0.215,0.851,0.000,0.000,0.000,0.645,0.056,0.295,0,0
low-compromise-flooding,Low-Compromise Flooding,High proposal pressure in a low-compromise legislature.,supermajority-60,Unicameral 60 percent passage,27000,180.000,813,5.420,180.000,0.030,1.000,0.646,0.687,0.019,0.356,0.970,0.000,0.000,0.000,0.901,0.005,0.119,0,0
low-compromise-flooding,Low-Compromise Flooding,High proposal pressure in a low-compromise legislature.,default-pass,Default pass unless 2/3 block,27000,180.000,22400,149.333,180.000,0.830,1.000,0.517,0.448,0.429,0.075,0.170,0.000,0.000,0.490,0.042,0.744,0.771,0,0
low-compromise-flooding,Low-Compromise Flooding,High proposal pressure in a low-compromise legislature.,default-pass-cost,Default pass + proposal costs,27000,180.000,13694,91.293,94.893,0.507,0.527,0.504,0.433,0.256,0.024,0.493,0.473,0.000,0.513,0.449,0.687,1.239,0,0
low-compromise-flooding,Low-Compromise Flooding,High proposal pressure in a low-compromise legislature.,default-pass-access,Default pass + proposal access screen,27000,180.000,7685,51.233,61.293,0.285,0.341,0.541,0.545,0.154,0.148,0.715,0.659,0.000,0.411,0.447,0.093,0.225,0,0
low-compromise-flooding,Low-Compromise Flooding,High proposal pressure in a low-compromise legislature.,default-pass-committee,Default pass + representative committee gate,27000,180.000,6036,40.240,40.847,0.224,0.227,0.543,0.542,0.121,0.153,0.776,0.000,0.773,0.362,0.577,0.121,0.445,0,0
low-compromise-flooding,Low-Compromise Flooding,High proposal pressure in a low-compromise legislature.,default-pass-guarded,Default pass + access + committee,27000,180.000,3833,25.553,25.787,0.142,0.143,0.560,0.594,0.079,0.200,0.858,0.618,0.238,0.290,0.666,0.046,0.240,0,0
low-compromise-flooding,Low-Compromise Flooding,High proposal pressure in a low-compromise legislature.,default-pass-informed-guarded,Default pass + informed guarded committee,27000,180.000,3741,24.940,25.227,0.139,0.140,0.556,0.604,0.077,0.200,0.861,0.613,0.247,0.298,0.662,0.045,0.247,0,0
low-compromise-flooding,Low-Compromise Flooding,High proposal pressure in a low-compromise legislature.,default-pass-cost-guarded,Default pass + costs + informed guardrails,27000,180.000,1007,6.713,6.753,0.037,0.038,0.538,0.601,0.020,0.085,0.963,0.881,0.081,0.379,0.907,0.022,0.563,0,0
low-compromise-flooding,Low-Compromise Flooding,High proposal pressure in a low-compromise legislature.,bicameral-majority,Bicameral simple majority,27000,180.000,2215,14.767,180.000,0.082,1.000,0.600,0.639,0.049,0.260,0.918,0.000,0.000,0.000,0.773,0.023,0.210,0,0
low-compromise-flooding,Low-Compromise Flooding,High proposal pressure in a low-compromise legislature.,presidential-veto,Bicameral majority + presidential veto,27000,180.000,1323,8.820,180.000,0.049,1.000,0.608,0.654,0.030,0.278,0.951,0.000,0.000,0.000,0.857,0.013,0.202,796,3
