caseKey,caseName,caseDescription,scenarioKey,scenario,totalBills,potentialBillsPerRun,enactedBills,enactedPerRun,floorPerRun,productivity,floor,avgSupport,welfare,cooperation,compromise,gridlock,accessDenied,committeeRejected,challengeRate,lowSupport,popularFail,policyShift,proposerGain,lobbyCapture,publicAlignment,antiLobbyingSuccess,privateGainRatio,lobbySpendPerBill,defensiveLobbyingShare,captureReturnOnSpend,publicPreferenceDistortion,vetoes,overriddenVetoes
multi-party,Multi-Party System,Generated legislators sort into five parties.,default-pass-budgeted-lobbying-transparency,Default pass + budgeted lobbying + transparency,9000,60.000,7508,50.053,60.000,0.834,1.000,0.531,0.491,0.443,0.103,0.166,0.000,0.000,0.000,0.458,0.020,0.675,0.677,0.197,0.798,0.999,0.570,0.127,0.618,1.298,0.202,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,default-pass-budgeted-lobbying-bundle,Default pass + budgeted lobbying + anti-capture bundle,9000,60.000,6835,45.567,57.647,0.759,0.961,0.537,0.508,0.408,0.108,0.241,0.039,0.000,0.000,0.448,0.037,0.609,0.670,0.178,0.813,0.972,0.440,0.127,0.618,1.067,0.187,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,default-pass-lobby-transparency,Default pass + lobby transparency,9000,60.000,7541,50.273,60.000,0.838,1.000,0.532,0.491,0.446,0.104,0.162,0.000,0.000,0.000,0.454,0.021,0.677,0.674,0.198,0.798,1.000,0.569,0.000,0.000,0.000,0.202,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,default-pass-public-interest-screen,Default pass + public-interest screen,9000,60.000,6902,46.013,54.400,0.767,0.907,0.534,0.507,0.410,0.107,0.233,0.093,0.000,0.000,0.449,0.047,0.608,0.661,0.215,0.804,0.955,0.431,0.000,0.000,0.000,0.196,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,default-pass-lobby-audit,Default pass + anti-capture audit,9000,60.000,6857,45.713,59.987,0.762,1.000,0.533,0.501,0.406,0.106,0.238,0.000,0.000,0.000,0.444,0.081,0.606,0.662,0.213,0.804,0.999,0.450,0.000,0.000,0.000,0.196,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,default-pass-anti-capture-bundle,Default pass + anti-capture bundle,9000,60.000,6839,45.593,57.673,0.760,0.961,0.536,0.509,0.407,0.108,0.240,0.039,0.000,0.000,0.440,0.031,0.610,0.670,0.176,0.813,0.972,0.431,0.000,0.000,0.000,0.187,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,default-pass-informed-guarded,Default pass + informed guarded committee,9000,60.000,1941,12.940,13.027,0.216,0.217,0.589,0.655,0.127,0.235,0.784,0.555,0.228,0.000,0.196,0.507,0.073,0.262,0.201,0.862,0.624,0.358,0.000,0.000,0.000,0.138,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,default-pass-challenge,Default pass + challenge vouchers,9000,60.000,2945,19.633,60.000,0.327,1.000,0.572,0.610,0.187,0.205,0.673,0.000,0.000,0.811,0.147,0.398,0.140,0.352,0.210,0.830,0.799,0.404,0.000,0.000,0.000,0.170,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,default-pass-cross-bloc,Default pass + cross-bloc cosponsors,9000,60.000,3744,24.960,25.993,0.416,0.433,0.559,0.616,0.233,0.183,0.584,0.567,0.000,0.000,0.325,0.221,0.183,0.355,0.187,0.825,0.976,0.331,0.000,0.000,0.000,0.175,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,default-pass-adaptive-track,Default pass + adaptive tracks,9000,60.000,3952,26.347,55.847,0.439,0.931,0.564,0.599,0.248,0.167,0.561,0.069,0.000,0.000,0.245,0.177,0.226,0.418,0.194,0.814,0.948,0.361,0.000,0.000,0.000,0.186,0,0
