sourceFamily,dataset,splitMethod,totalRows,calibrationRows,heldoutRows,totalUnits,calibrationUnits,heldoutUnits,unit,metric,calibrationValue,heldoutValue,allValue,trainHeldoutAbsDelta,calibrationTarget,simulatorScenario,simulatorMetric,simulatorObserved,targetMinimum,targetMaximum,heldoutTargetStatus,boundaryCategory,notes
OpenFEC campaign finance,campaign_finance.csv,sha256(source_id) first32bits mod 2 equals 0 held out,194,91,103,194,91,103,transaction,recipientFinanceGini,0.891986,0.912195,0.935526,0.020209,campaign-finance-observable-band,influence-system-majority,campaignFinanceCaptureIndex,0.144,0.000,1.000,pass,held-out benchmark,Gini concentration of campaign money by recipient.
OpenFEC campaign finance,campaign_finance.csv,sha256(source_id) first32bits mod 2 equals 0 held out,194,91,103,194,91,103,transaction,outsideSpendingShare,0.994662,0.964491,0.982998,0.030171,campaign-finance-observable-band,influence-system-majority,campaignFinanceCaptureIndex,0.144,0.000,1.000,pass,held-out benchmark,Share of campaign money marked as independent expenditure.
District public opinion and affected groups,district_public_opinion.csv,sha256(district_id) first32bits mod 2 equals 0 held out,1305,668,637,436,223,213,district,intensityWeightedSupport,0.508576,0.522059,0.515156,0.013483,district-public-will-alignment,district-population-majority,districtAlignment,0.394,0.200,0.800,pass,held-out benchmark,District support weighted by issue intensity and turnout.
District public opinion and affected groups,district_public_opinion.csv,sha256(district_id) first32bits mod 2 equals 0 held out,1305,668,637,436,223,213,district,turnoutGini,0.050825,0.052171,0.051513,0.001346,district-turnout-skew-proxy,district-population-majority,turnoutSkewIndex,0.254,0.000,0.400,pass,held-out benchmark,Turnout concentration across district-issue rows.
Court review and invalidation,court_review.csv,sha256(case_id) first32bits mod 2 equals 0 held out,9341,4610,4731,9341,4610,4731,case,invalidationRate,0.070282,0.073346,0.071834,0.003064,judicial-review-constraint,constitutional-court-architecture-majority,constitutionalInvalidationRate,0.000,0.000,0.200,pass,held-out benchmark,Share of SCDB merits cases invalidating the challenged action.
Court review and invalidation,court_review.csv,sha256(case_id) first32bits mod 2 equals 0 held out,9341,4610,4731,9341,4610,4731,case,signedOpinionRate,0.785900,0.782076,0.783963,0.003825,,,,,,,reported,held-out benchmark,Share of SCDB merits cases coded as signed opinions; reported without a simulator tolerance target.
Rulemaking implementation and enforcement,rulemaking_implementation.csv,sha256(law_id) first32bits mod 2 equals 0 held out,500,246,254,500,246,254,final rule,meanFinalToEffectiveDays,37.102804,26.622807,31.696833,10.479997,implementation-delay-proxy,law-registry-majority,implementationDelay,0.505,0.000,100.000,pass,held-out benchmark,Mean days between Federal Register final-rule publication and effective date.
Rulemaking implementation and enforcement,rulemaking_implementation.csv,sha256(law_id) first32bits mod 2 equals 0 held out,500,246,254,500,246,254,final rule,effectiveDateCoverage,0.869919,0.897638,0.884000,0.027719,,,,,,,reported,held-out benchmark,Share of final-rule rows with effective-date coverage; reported as source completeness.
Rulemaking implementation and enforcement,rulemaking_implementation.csv,sha256(law_id) first32bits mod 2 equals 0 held out,500,246,254,500,246,254,final rule,meanEnforcementCapacity,0.816057,0.852362,0.834500,0.036305,implementation-capacity-proxy,law-registry-majority,implementationCapacity,0.174,0.000,1.000,pass,held-out benchmark,Mean encoded implementation-speed or enforcement-capacity proxy where available.
Statutory revision and law lineage,law_revision_history.csv,sha256(law_id) first32bits mod 2 equals 0 held out,120,57,63,120,57,63,public law,postEnactmentCorrectionRate,0.368421,0.380952,0.375000,0.012531,law-revision-correction-proxy,law-registry-majority,reversalRate,0.469,0.000,0.800,pass,held-out benchmark,"Share of public-law rows with amendment, reauthorization, repeal, expiration, or invalidation flags."
Statutory revision and law lineage,law_revision_history.csv,sha256(law_id) first32bits mod 2 equals 0 held out,120,57,63,120,57,63,public law,repealRate,0.052632,0.079365,0.066667,0.026734,,,,,,,reported,held-out benchmark,Share of public-law rows with repeal text flags; reported without a simulator tolerance target.
QoG and V-Dem comparative institutions,comparative_institutions.csv,sha256(country) first32bits mod 2 equals 0 held out,130,66,64,130,66,64,country-year,bicameralShare,0.227273,0.250000,0.238462,0.022727,bicameral-veto-burden,bicameral-majority,interChamberConflictRate,0.148,0.050,0.600,pass,held-out benchmark,Share of comparative country-year rows with two or more chambers.
QoG and V-Dem comparative institutions,comparative_institutions.csv,sha256(country) first32bits mod 2 equals 0 held out,130,66,64,130,66,64,country-year,meanJudicialReviewStrength,0.694924,0.670250,0.682777,0.024674,,,,,,,reported,held-out benchmark,Mean encoded judicial-review strength; reported as comparative context.
