triage_rank,source_scan_rank,lineage_review_rank,bill_id,public_law_number,target_reference,target_reference_type,candidate_snippet_count,amendment_snippet_count,repeal_snippet_count,redesignation_snippet_count,incomplete_fragment_count,example_snippets,govinfo_text_url,codification_review_status,lineage_evidence_status,evidence_layers,missing_links,next_review_action,claim_boundary
11,1,1,117-hr-1437,117-229,42 USC 1396d(ff),direct_us_code_reference,1,0,0,0,0,Section 1905(ff) of the Social Security Act (42 U.S.C. 1396d(ff)) is,https://www.govinfo.gov/content/pkg/PLAW-117publ229/html/PLAW-117publ229.htm,needs_olrc_us_code_note_review,target_section_triage_not_codified_lineage_evidence,statutory_lineage_source_scan; govinfo_public_law_text_scan; target_section_candidate_triage,olrc_us_code_classification; codified_usc_lineage; target_section_diff; law_revision_effective_text; model_validation,Review target reference against OLRC/U.S. Code notes and capture codified target-section before/after text before treating this row as lineage evidence.,"Target-section triage derived from official public-law source scans only. Rows rank candidate U.S.C. targets for manual OLRC/codified-text review; they do not establish codified U.S.C. lineage, target-section text diffs, implementation outcomes, court review, welfare, causal effects, or model validation."
12,1,1,117-hr-1437,117-229,42 USC 282 note,direct_us_code_reference,1,0,0,0,0,42 U.S.C. 282 note) is,https://www.govinfo.gov/content/pkg/PLAW-117publ229/html/PLAW-117publ229.htm,needs_olrc_us_code_note_review,target_section_triage_not_codified_lineage_evidence,statutory_lineage_source_scan; govinfo_public_law_text_scan; target_section_candidate_triage,olrc_us_code_classification; codified_usc_lineage; target_section_diff; law_revision_effective_text; model_validation,Review target reference against OLRC/U.S. Code notes and capture codified target-section before/after text before treating this row as lineage evidence.,"Target-section triage derived from official public-law source scans only. Rows rank candidate U.S.C. targets for manual OLRC/codified-text review; they do not establish codified U.S.C. lineage, target-section text diffs, implementation outcomes, court review, welfare, causal effects, or model validation."
13,1,1,117-hr-1437,117-229,42 USC 284m(d)(1),direct_us_code_reference,1,1,0,0,0,"Section 409I(d)(1) of the Public Health Service Act (42 U.S.C. 284m(d)(1)) is amended by striking ``$5,273,973 for the period beginning",https://www.govinfo.gov/content/pkg/PLAW-117publ229/html/PLAW-117publ229.htm,needs_olrc_us_code_note_review,target_section_triage_not_codified_lineage_evidence,statutory_lineage_source_scan; govinfo_public_law_text_scan; target_section_candidate_triage,olrc_us_code_classification; codified_usc_lineage; target_section_diff; law_revision_effective_text; model_validation,Review target reference against OLRC/U.S. Code notes and capture codified target-section before/after text before treating this row as lineage evidence.,"Target-section triage derived from official public-law source scans only. Rows rank candidate U.S.C. targets for manual OLRC/codified-text review; they do not establish codified U.S.C. lineage, target-section text diffs, implementation outcomes, court review, welfare, causal effects, or model validation."
14,1,1,117-hr-1437,117-229,47 USC 309(j)(11),direct_us_code_reference,1,1,0,0,0,"Section 309(j)(11) of the Communications Act of 1934 (47 U.S.C. 309(j)(11)) is amended by striking ``December 16, 2022'' and inserting",https://www.govinfo.gov/content/pkg/PLAW-117publ229/html/PLAW-117publ229.htm,needs_olrc_us_code_note_review,target_section_triage_not_codified_lineage_evidence,statutory_lineage_source_scan; govinfo_public_law_text_scan; target_section_candidate_triage,olrc_us_code_classification; codified_usc_lineage; target_section_diff; law_revision_effective_text; model_validation,Review target reference against OLRC/U.S. Code notes and capture codified target-section before/after text before treating this row as lineage evidence.,"Target-section triage derived from official public-law source scans only. Rows rank candidate U.S.C. targets for manual OLRC/codified-text review; they do not establish codified U.S.C. lineage, target-section text diffs, implementation outcomes, court review, welfare, causal effects, or model validation."
15,1,1,117-hr-1437,117-229,6 USC 1525,direct_us_code_reference,1,0,0,0,0,of the Federal Cybersecurity Enhancement Act of 2015 (6 U.S.C. 1525),https://www.govinfo.gov/content/pkg/PLAW-117publ229/html/PLAW-117publ229.htm,needs_olrc_us_code_note_review,target_section_triage_not_codified_lineage_evidence,statutory_lineage_source_scan; govinfo_public_law_text_scan; target_section_candidate_triage,olrc_us_code_classification; codified_usc_lineage; target_section_diff; law_revision_effective_text; model_validation,Review target reference against OLRC/U.S. Code notes and capture codified target-section before/after text before treating this row as lineage evidence.,"Target-section triage derived from official public-law source scans only. Rows rank candidate U.S.C. targets for manual OLRC/codified-text review; they do not establish codified U.S.C. lineage, target-section text diffs, implementation outcomes, court review, welfare, causal effects, or model validation."
16,2,2,117-hr-5376,117-169,26 USC 4501,direct_us_code_reference,2,0,0,0,0,``CHAPTER 37 <<NOTE: 26 USC 4501 prec.>> --REPURCHASE OF CORPORATE STOCK || ``SEC. 4501. <<NOTE: 26 USC 4501.>> REPURCHASE OF CORPORATE,https://www.govinfo.gov/content/pkg/PLAW-117publ169/html/PLAW-117publ169.htm,needs_olrc_us_code_note_review,target_section_triage_not_codified_lineage_evidence,statutory_lineage_source_scan; govinfo_public_law_text_scan; target_section_candidate_triage,olrc_us_code_classification; codified_usc_lineage; target_section_diff; law_revision_effective_text; model_validation,Review target reference against OLRC/U.S. Code notes and capture codified target-section before/after text before treating this row as lineage evidence.,"Target-section triage derived from official public-law source scans only. Rows rank candidate U.S.C. targets for manual OLRC/codified-text review; they do not establish codified U.S.C. lineage, target-section text diffs, implementation outcomes, court review, welfare, causal effects, or model validation."
17,2,2,117-hr-5376,117-169,26 USC 55,direct_us_code_reference,2,1,0,0,0,"55(a)(2) <<NOTE: 26 USC 55.>> is amended by inserting ``plus, in the case of an applicable corporation, the tax imposed by || of subchapter A of chapter 1 <<NOTE: 26 USC 55 prec.>> is",https://www.govinfo.gov/content/pkg/PLAW-117publ169/html/PLAW-117publ169.htm,needs_olrc_us_code_note_review,target_section_triage_not_codified_lineage_evidence,statutory_lineage_source_scan; govinfo_public_law_text_scan; target_section_candidate_triage,olrc_us_code_classification; codified_usc_lineage; target_section_diff; law_revision_effective_text; model_validation,Review target reference against OLRC/U.S. Code notes and capture codified target-section before/after text before treating this row as lineage evidence.,"Target-section triage derived from official public-law source scans only. Rows rank candidate U.S.C. targets for manual OLRC/codified-text review; they do not establish codified U.S.C. lineage, target-section text diffs, implementation outcomes, court review, welfare, causal effects, or model validation."
18,2,2,117-hr-5376,117-169,26 USC 56A,direct_us_code_reference,2,1,0,0,0,amended by inserting after section 56 the following new section: ``SEC. 56A. <<NOTE: 26 USC 56A.>> ADJUSTED FINANCIAL STATEMENT || ``SEC. 56A. <<NOTE: 26 USC 56A.>> ADJUSTED FINANCIAL STATEMENT,https://www.govinfo.gov/content/pkg/PLAW-117publ169/html/PLAW-117publ169.htm,needs_olrc_us_code_note_review,target_section_triage_not_codified_lineage_evidence,statutory_lineage_source_scan; govinfo_public_law_text_scan; target_section_candidate_triage,olrc_us_code_classification; codified_usc_lineage; target_section_diff; law_revision_effective_text; model_validation,Review target reference against OLRC/U.S. Code notes and capture codified target-section before/after text before treating this row as lineage evidence.,"Target-section triage derived from official public-law source scans only. Rows rank candidate U.S.C. targets for manual OLRC/codified-text review; they do not establish codified U.S.C. lineage, target-section text diffs, implementation outcomes, court review, welfare, causal effects, or model validation."
19,2,2,117-hr-5376,117-169,26 USC 59,direct_us_code_reference,2,2,0,0,0,"(c) Corporate AMT Foreign Tax Credit.--Section 59, as amended by this section, <<NOTE: 26 USC 59.>> is amended by adding at the end the || this section, <<NOTE: 26 USC 59.>> is amended by adding at the end the following new subsection:",https://www.govinfo.gov/content/pkg/PLAW-117publ169/html/PLAW-117publ169.htm,needs_olrc_us_code_note_review,target_section_triage_not_codified_lineage_evidence,statutory_lineage_source_scan; govinfo_public_law_text_scan; target_section_candidate_triage,olrc_us_code_classification; codified_usc_lineage; target_section_diff; law_revision_effective_text; model_validation,Review target reference against OLRC/U.S. Code notes and capture codified target-section before/after text before treating this row as lineage evidence.,"Target-section triage derived from official public-law source scans only. Rows rank candidate U.S.C. targets for manual OLRC/codified-text review; they do not establish codified U.S.C. lineage, target-section text diffs, implementation outcomes, court review, welfare, causal effects, or model validation."
20,2,2,117-hr-5376,117-169,31 USC 1343(b),direct_us_code_reference,2,0,0,0,0,"hire passenger motor vehicles (31 U.S.C. 1343(b)), and to provide other services as || (31 U.S.C. 1343(b))",https://www.govinfo.gov/content/pkg/PLAW-117publ169/html/PLAW-117publ169.htm,needs_olrc_us_code_note_review,target_section_triage_not_codified_lineage_evidence,statutory_lineage_source_scan; govinfo_public_law_text_scan; target_section_candidate_triage,olrc_us_code_classification; codified_usc_lineage; target_section_diff; law_revision_effective_text; model_validation,Review target reference against OLRC/U.S. Code notes and capture codified target-section before/after text before treating this row as lineage evidence.,"Target-section triage derived from official public-law source scans only. Rows rank candidate U.S.C. targets for manual OLRC/codified-text review; they do not establish codified U.S.C. lineage, target-section text diffs, implementation outcomes, court review, welfare, causal effects, or model validation."
21,2,2,117-hr-5376,117-169,26 USC 11 note,direct_us_code_reference,1,1,0,0,0,(f) <<NOTE: 26 USC 11 note.>> Effective Date.--The amendments made,https://www.govinfo.gov/content/pkg/PLAW-117publ169/html/PLAW-117publ169.htm,needs_olrc_us_code_note_review,target_section_triage_not_codified_lineage_evidence,statutory_lineage_source_scan; govinfo_public_law_text_scan; target_section_candidate_triage,olrc_us_code_classification; codified_usc_lineage; target_section_diff; law_revision_effective_text; model_validation,Review target reference against OLRC/U.S. Code notes and capture codified target-section before/after text before treating this row as lineage evidence.,"Target-section triage derived from official public-law source scans only. Rows rank candidate U.S.C. targets for manual OLRC/codified-text review; they do not establish codified U.S.C. lineage, target-section text diffs, implementation outcomes, court review, welfare, causal effects, or model validation."
22,2,2,117-hr-5376,117-169,26 USC 38,direct_us_code_reference,1,1,0,0,0,38(c)(6)(E) <<NOTE: 26 USC 38.>> is amended to read as follows: ``(E) <<NOTE: Applicability.>> Corporations.--In,https://www.govinfo.gov/content/pkg/PLAW-117publ169/html/PLAW-117publ169.htm,needs_olrc_us_code_note_review,target_section_triage_not_codified_lineage_evidence,statutory_lineage_source_scan; govinfo_public_law_text_scan; target_section_candidate_triage,olrc_us_code_classification; codified_usc_lineage; target_section_diff; law_revision_effective_text; model_validation,Review target reference against OLRC/U.S. Code notes and capture codified target-section before/after text before treating this row as lineage evidence.,"Target-section triage derived from official public-law source scans only. Rows rank candidate U.S.C. targets for manual OLRC/codified-text review; they do not establish codified U.S.C. lineage, target-section text diffs, implementation outcomes, court review, welfare, causal effects, or model validation."
23,2,2,117-hr-5376,117-169,26 USC 4001,direct_us_code_reference,1,1,0,0,0,is <<NOTE: 26 USC 4001 prec.>> amended by inserting after the item relating to chapter 36 the following new item:,https://www.govinfo.gov/content/pkg/PLAW-117publ169/html/PLAW-117publ169.htm,needs_olrc_us_code_note_review,target_section_triage_not_codified_lineage_evidence,statutory_lineage_source_scan; govinfo_public_law_text_scan; target_section_candidate_triage,olrc_us_code_classification; codified_usc_lineage; target_section_diff; law_revision_effective_text; model_validation,Review target reference against OLRC/U.S. Code notes and capture codified target-section before/after text before treating this row as lineage evidence.,"Target-section triage derived from official public-law source scans only. Rows rank candidate U.S.C. targets for manual OLRC/codified-text review; they do not establish codified U.S.C. lineage, target-section text diffs, implementation outcomes, court review, welfare, causal effects, or model validation."
24,2,2,117-hr-5376,117-169,26 USC 4501 note,direct_us_code_reference,1,1,0,0,0,(d) <<NOTE: 26 USC 4501 note.>> Effective Date.--The amendments,https://www.govinfo.gov/content/pkg/PLAW-117publ169/html/PLAW-117publ169.htm,needs_olrc_us_code_note_review,target_section_triage_not_codified_lineage_evidence,statutory_lineage_source_scan; govinfo_public_law_text_scan; target_section_candidate_triage,olrc_us_code_classification; codified_usc_lineage; target_section_diff; law_revision_effective_text; model_validation,Review target reference against OLRC/U.S. Code notes and capture codified target-section before/after text before treating this row as lineage evidence.,"Target-section triage derived from official public-law source scans only. Rows rank candidate U.S.C. targets for manual OLRC/codified-text review; they do not establish codified U.S.C. lineage, target-section text diffs, implementation outcomes, court review, welfare, causal effects, or model validation."
25,2,2,117-hr-5376,117-169,26 USC 860E,direct_us_code_reference,1,0,0,0,0,(ii) <<NOTE: 26 USC 860E.>> Section 860E(a)(4) is,https://www.govinfo.gov/content/pkg/PLAW-117publ169/html/PLAW-117publ169.htm,needs_olrc_us_code_note_review,target_section_triage_not_codified_lineage_evidence,statutory_lineage_source_scan; govinfo_public_law_text_scan; target_section_candidate_triage,olrc_us_code_classification; codified_usc_lineage; target_section_diff; law_revision_effective_text; model_validation,Review target reference against OLRC/U.S. Code notes and capture codified target-section before/after text before treating this row as lineage evidence.,"Target-section triage derived from official public-law source scans only. Rows rank candidate U.S.C. targets for manual OLRC/codified-text review; they do not establish codified U.S.C. lineage, target-section text diffs, implementation outcomes, court review, welfare, causal effects, or model validation."
26,2,2,117-hr-5376,117-169,43 USC 1606(i),direct_us_code_reference,1,0,0,0,0,to section 7(i) or section 7(j) of such Act (43 U.S.C. 1606(i) and 1606(j)) only at such time as the deductions,https://www.govinfo.gov/content/pkg/PLAW-117publ169/html/PLAW-117publ169.htm,needs_olrc_us_code_note_review,target_section_triage_not_codified_lineage_evidence,statutory_lineage_source_scan; govinfo_public_law_text_scan; target_section_candidate_triage,olrc_us_code_classification; codified_usc_lineage; target_section_diff; law_revision_effective_text; model_validation,Review target reference against OLRC/U.S. Code notes and capture codified target-section before/after text before treating this row as lineage evidence.,"Target-section triage derived from official public-law source scans only. Rows rank candidate U.S.C. targets for manual OLRC/codified-text review; they do not establish codified U.S.C. lineage, target-section text diffs, implementation outcomes, court review, welfare, causal effects, or model validation."
27,2,2,117-hr-5376,117-169,5 USC 3109,direct_us_code_reference,1,0,0,0,0,"authorized by 5 U.S.C. 3109, at such rates as may",https://www.govinfo.gov/content/pkg/PLAW-117publ169/html/PLAW-117publ169.htm,needs_olrc_us_code_note_review,target_section_triage_not_codified_lineage_evidence,statutory_lineage_source_scan; govinfo_public_law_text_scan; target_section_candidate_triage,olrc_us_code_classification; codified_usc_lineage; target_section_diff; law_revision_effective_text; model_validation,Review target reference against OLRC/U.S. Code notes and capture codified target-section before/after text before treating this row as lineage evidence.,"Target-section triage derived from official public-law source scans only. Rows rank candidate U.S.C. targets for manual OLRC/codified-text review; they do not establish codified U.S.C. lineage, target-section text diffs, implementation outcomes, court review, welfare, causal effects, or model validation."
28,3,3,117-hr-6833,117-180,18 USC 3551 note,direct_us_code_reference,2,1,0,0,0,(b) <<NOTE: 18 USC 3551 note.>> Amendment of Sentencing Reform Act || 1984 (18 U.S.C. 3551 note,https://www.govinfo.gov/content/pkg/PLAW-117publ180/html/PLAW-117publ180.htm,needs_olrc_us_code_note_review,target_section_triage_not_codified_lineage_evidence,statutory_lineage_source_scan; govinfo_public_law_text_scan; target_section_candidate_triage,olrc_us_code_classification; codified_usc_lineage; target_section_diff; law_revision_effective_text; model_validation,Review target reference against OLRC/U.S. Code notes and capture codified target-section before/after text before treating this row as lineage evidence.,"Target-section triage derived from official public-law source scans only. Rows rank candidate U.S.C. targets for manual OLRC/codified-text review; they do not establish codified U.S.C. lineage, target-section text diffs, implementation outcomes, court review, welfare, causal effects, or model validation."
29,3,3,117-hr-6833,117-180,10 USC 714(b)(2)(B),title_code_section_phrase,1,0,0,0,0,"Act, section 714(b)(2)(B) of title 10, United States Code, shall be",https://www.govinfo.gov/content/pkg/PLAW-117publ180/html/PLAW-117publ180.htm,needs_olrc_us_code_note_review,target_section_triage_not_codified_lineage_evidence,statutory_lineage_source_scan; govinfo_public_law_text_scan; target_section_candidate_triage,olrc_us_code_classification; codified_usc_lineage; target_section_diff; law_revision_effective_text; model_validation,Review target reference against OLRC/U.S. Code notes and capture codified target-section before/after text before treating this row as lineage evidence.,"Target-section triage derived from official public-law source scans only. Rows rank candidate U.S.C. targets for manual OLRC/codified-text review; they do not establish codified U.S.C. lineage, target-section text diffs, implementation outcomes, court review, welfare, causal effects, or model validation."
30,3,3,117-hr-6833,117-180,12 USC 1715z-1,direct_us_code_reference,1,0,0,0,0,authorized under section 236 of the National Housing Act (12 U.S.C. 1715z-1).,https://www.govinfo.gov/content/pkg/PLAW-117publ180/html/PLAW-117publ180.htm,needs_olrc_us_code_note_review,target_section_triage_not_codified_lineage_evidence,statutory_lineage_source_scan; govinfo_public_law_text_scan; target_section_candidate_triage,olrc_us_code_classification; codified_usc_lineage; target_section_diff; law_revision_effective_text; model_validation,Review target reference against OLRC/U.S. Code notes and capture codified target-section before/after text before treating this row as lineage evidence.,"Target-section triage derived from official public-law source scans only. Rows rank candidate U.S.C. targets for manual OLRC/codified-text review; they do not establish codified U.S.C. lineage, target-section text diffs, implementation outcomes, court review, welfare, causal effects, or model validation."
31,3,3,117-hr-6833,117-180,12 USC 1715z-13b,direct_us_code_reference,1,0,0,0,0,of the Housing and Community Development Act of 1992 (12 U.S.C. 1715z-13b).,https://www.govinfo.gov/content/pkg/PLAW-117publ180/html/PLAW-117publ180.htm,needs_olrc_us_code_note_review,target_section_triage_not_codified_lineage_evidence,statutory_lineage_source_scan; govinfo_public_law_text_scan; target_section_candidate_triage,olrc_us_code_classification; codified_usc_lineage; target_section_diff; law_revision_effective_text; model_validation,Review target reference against OLRC/U.S. Code notes and capture codified target-section before/after text before treating this row as lineage evidence.,"Target-section triage derived from official public-law source scans only. Rows rank candidate U.S.C. targets for manual OLRC/codified-text review; they do not establish codified U.S.C. lineage, target-section text diffs, implementation outcomes, court review, welfare, causal effects, or model validation."
32,3,3,117-hr-6833,117-180,15 USC 634(g),direct_us_code_reference,1,0,0,0,0,"by section 5(g) of the Small Business Act (15 U.S.C. 634(g)), for",https://www.govinfo.gov/content/pkg/PLAW-117publ180/html/PLAW-117publ180.htm,needs_olrc_us_code_note_review,target_section_triage_not_codified_lineage_evidence,statutory_lineage_source_scan; govinfo_public_law_text_scan; target_section_candidate_triage,olrc_us_code_classification; codified_usc_lineage; target_section_diff; law_revision_effective_text; model_validation,Review target reference against OLRC/U.S. Code notes and capture codified target-section before/after text before treating this row as lineage evidence.,"Target-section triage derived from official public-law source scans only. Rows rank candidate U.S.C. targets for manual OLRC/codified-text review; they do not establish codified U.S.C. lineage, target-section text diffs, implementation outcomes, court review, welfare, causal effects, or model validation."
33,3,3,117-hr-6833,117-180,15 USC 636(a),direct_us_code_reference,1,0,0,0,0,"Act (15 U.S.C. 636(a)), for guarantees of trust certificates authorized",https://www.govinfo.gov/content/pkg/PLAW-117publ180/html/PLAW-117publ180.htm,needs_olrc_us_code_note_review,target_section_triage_not_codified_lineage_evidence,statutory_lineage_source_scan; govinfo_public_law_text_scan; target_section_candidate_triage,olrc_us_code_classification; codified_usc_lineage; target_section_diff; law_revision_effective_text; model_validation,Review target reference against OLRC/U.S. Code notes and capture codified target-section before/after text before treating this row as lineage evidence.,"Target-section triage derived from official public-law source scans only. Rows rank candidate U.S.C. targets for manual OLRC/codified-text review; they do not establish codified U.S.C. lineage, target-section text diffs, implementation outcomes, court review, welfare, causal effects, or model validation."
