caseKey,caseName,caseDescription,scenarioKey,scenario,totalBills,potentialBillsPerRun,enactedBills,enactedPerRun,floorPerRun,productivity,floor,avgSupport,welfare,cooperation,compromise,gridlock,accessDenied,committeeRejected,challengeRate,lowSupport,popularFail,policyShift,proposerGain,lobbyCapture,publicAlignment,antiLobbyingSuccess,privateGainRatio,vetoes,overriddenVetoes
multi-party,Multi-Party System,Generated legislators sort into five parties.,default-pass-earned-credits,Default pass + earned proposal credits,9000,60.000,6517,43.447,51.427,0.724,0.857,0.533,0.504,0.386,0.111,0.276,0.143,0.000,0.000,0.442,0.118,0.564,0.646,0.244,0.808,0.920,0.545,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,bicameral-majority,Bicameral simple majority,9000,60.000,1651,11.007,60.000,0.183,1.000,0.625,0.675,0.115,0.286,0.817,0.000,0.000,0.000,0.000,0.554,0.056,0.238,0.197,0.827,0.572,0.363,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,presidential-veto,Bicameral majority + presidential veto,9000,60.000,1091,7.273,60.000,0.121,1.000,0.640,0.692,0.078,0.309,0.879,0.000,0.000,0.000,0.000,0.690,0.036,0.225,0.191,0.826,0.391,0.345,512,7
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,simple-majority,Unicameral simple majority,27000,180.000,7167,47.780,180.000,0.265,1.000,0.598,0.644,0.159,0.235,0.735,0.000,0.000,0.000,0.000,0.435,0.105,0.316,0.210,0.825,0.714,0.399,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,simple-majority-lobby-firewall,Unicameral majority + lobby firewall,27000,180.000,7609,50.727,180.000,0.282,1.000,0.609,0.649,0.172,0.231,0.718,0.000,0.000,0.000,0.000,0.385,0.116,0.332,0.192,0.836,0.791,0.350,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,supermajority-60,Unicameral 60 percent passage,27000,180.000,2350,15.667,180.000,0.087,1.000,0.665,0.723,0.058,0.366,0.913,0.000,0.000,0.000,0.000,0.758,0.017,0.142,0.196,0.825,0.284,0.336,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,default-pass,Default pass unless 2/3 block,27000,180.000,22724,151.493,180.000,0.842,1.000,0.533,0.496,0.449,0.107,0.158,0.000,0.000,0.000,0.448,0.021,0.675,0.668,0.255,0.800,0.994,0.587,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,default-pass-lobby-firewall,Default pass + lobby firewall,27000,180.000,22178,147.853,180.000,0.821,1.000,0.536,0.501,0.440,0.109,0.179,0.000,0.000,0.000,0.448,0.018,0.662,0.673,0.250,0.810,0.995,0.566,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,default-pass-lobby-transparency,Default pass + lobby transparency,27000,180.000,22647,150.980,180.000,0.839,1.000,0.532,0.497,0.446,0.107,0.161,0.000,0.000,0.000,0.452,0.021,0.673,0.669,0.198,0.796,0.997,0.569,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,default-pass-public-interest-screen,Default pass + public-interest screen,27000,180.000,20710,138.067,163.320,0.767,0.907,0.534,0.514,0.410,0.110,0.233,0.093,0.000,0.000,0.443,0.047,0.604,0.656,0.216,0.802,0.940,0.427,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,default-pass-lobby-audit,Default pass + anti-capture audit,27000,180.000,20620,137.467,179.960,0.764,1.000,0.533,0.508,0.407,0.109,0.236,0.000,0.000,0.000,0.444,0.080,0.608,0.664,0.214,0.802,0.995,0.450,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,default-pass-anti-capture-bundle,Default pass + anti-capture bundle,27000,180.000,20552,137.013,172.513,0.761,0.958,0.537,0.516,0.409,0.112,0.239,0.042,0.000,0.000,0.444,0.029,0.604,0.661,0.177,0.810,0.956,0.435,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,default-pass-informed-guarded,Default pass + informed guarded committee,27000,180.000,5870,39.133,39.367,0.217,0.219,0.588,0.661,0.128,0.243,0.783,0.551,0.230,0.000,0.196,0.513,0.072,0.251,0.202,0.860,0.629,0.363,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,default-pass-challenge,Default pass + challenge vouchers,27000,180.000,23241,154.940,180.000,0.861,1.000,0.510,0.479,0.439,0.102,0.139,0.000,0.000,0.167,0.461,0.078,0.646,0.612,0.257,0.806,0.962,0.608,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,default-pass-cross-bloc,Default pass + cross-bloc cosponsors,27000,180.000,6776,45.173,45.487,0.251,0.253,0.582,0.682,0.146,0.255,0.749,0.747,0.000,0.000,0.196,0.461,0.081,0.251,0.160,0.822,0.859,0.267,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,default-pass-adaptive-track,Default pass + adaptive tracks,27000,180.000,11847,78.980,168.067,0.439,0.934,0.563,0.605,0.247,0.172,0.561,0.066,0.001,0.000,0.248,0.180,0.220,0.400,0.196,0.812,0.913,0.366,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,default-pass-sunset-trial,Default pass + sunset trial,27000,180.000,12696,84.640,180.000,0.470,1.000,0.556,0.616,0.261,0.152,0.530,0.000,0.000,0.000,0.355,0.092,0.269,0.463,0.173,0.823,0.976,0.293,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,default-pass-earned-credits,Default pass + earned proposal credits,27000,180.000,15947,106.313,124.960,0.591,0.694,0.538,0.522,0.318,0.119,0.409,0.306,0.000,0.000,0.427,0.229,0.439,0.612,0.234,0.805,0.796,0.509,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,bicameral-majority,Bicameral simple majority,27000,180.000,4775,31.833,180.000,0.177,1.000,0.622,0.674,0.110,0.282,0.823,0.000,0.000,0.000,0.000,0.578,0.054,0.232,0.202,0.828,0.538,0.370,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,presidential-veto,Bicameral majority + presidential veto,27000,180.000,2963,19.753,180.000,0.110,1.000,0.638,0.691,0.070,0.308,0.890,0.000,0.000,0.000,0.000,0.721,0.030,0.209,0.198,0.825,0.341,0.356,1548,11
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,simple-majority,Unicameral simple majority,45000,300.000,12076,80.507,300.000,0.268,1.000,0.597,0.639,0.160,0.232,0.732,0.000,0.000,0.000,0.000,0.439,0.105,0.313,0.213,0.827,0.718,0.403,0,0
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,simple-majority-lobby-firewall,Unicameral majority + lobby firewall,45000,300.000,12631,84.207,300.000,0.281,1.000,0.608,0.644,0.171,0.230,0.719,0.000,0.000,0.000,0.000,0.394,0.115,0.328,0.196,0.839,0.783,0.361,0,0
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,supermajority-60,Unicameral 60 percent passage,45000,300.000,3933,26.220,300.000,0.087,1.000,0.665,0.715,0.058,0.363,0.913,0.000,0.000,0.000,0.000,0.757,0.018,0.142,0.202,0.826,0.285,0.351,0,0
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,default-pass,Default pass unless 2/3 block,45000,300.000,37847,252.313,300.000,0.841,1.000,0.533,0.495,0.448,0.106,0.159,0.000,0.000,0.000,0.450,0.024,0.673,0.665,0.257,0.801,0.996,0.594,0,0
