caseKey,caseName,caseDescription,scenarioKey,scenario,totalBills,potentialBillsPerRun,enactedBills,enactedPerRun,floorPerRun,productivity,floor,avgSupport,welfare,cooperation,compromise,gridlock,accessDenied,committeeRejected,challengeRate,lowSupport,popularFail,policyShift,proposerGain,lobbyCapture,publicAlignment,antiLobbyingSuccess,privateGainRatio,lobbySpendPerBill,defensiveLobbyingShare,captureReturnOnSpend,publicPreferenceDistortion,amendmentRate,amendmentMovement,minorityHarm,concentratedHarmPassage,compensationRate,legitimacy,activeLawWelfare,reversalRate,timeToCorrectBadLaw,statusQuoVolatility,lowSupportActiveLawShare,selectedAlternativeMedianDistance,proposerAgendaAdvantage,alternativeDiversity,statusQuoWinRate,publicBenefitPerLobbyDollar,directLobbySpendShare,agendaLobbySpendShare,informationLobbySpendShare,publicCampaignSpendShare,litigationThreatSpendShare,citizenReviewRate,citizenCertificationRate,citizenLegitimacy,attentionSpendPerBill,objectionWindowRate,repealWindowReversalRate,fastLaneRate,middleLaneRate,highRiskLaneRate,challengeExhaustionRate,falseNegativePassRate,publicWillReviewRate,publicSignalMovement,districtAlignment,crossBlocAdmissionRate,affectedGroupSponsorshipRate,averageCosponsors,proposalBondForfeiture,strategicDecoyRate,proposerAccessGini,welfarePerSubmittedBill,vetoes,overriddenVetoes
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-multiround-mediation-challenge,Default pass + multi-round mediation + challenge,4800,60.000,3469,43.363,60.000,0.723,1.000,0.546,0.459,0.395,0.219,0.277,0.000,0.000,0.480,0.249,0.215,0.270,0.342,0.269,0.843,0.834,0.705,0.000,0.000,0.000,0.157,0.720,0.278,0.116,0.709,0.244,0.441,0.000,0.000,0.000,0.270,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.330,0.325,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.089,0.332,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-alternatives-pairwise,Default pass + pairwise policy tournament,4800,60.000,2644,33.050,33.050,0.551,0.551,0.666,0.632,0.367,0.504,0.449,0.449,0.000,0.000,0.014,0.003,0.005,0.005,0.195,0.842,0.963,0.376,0.000,0.000,0.000,0.158,0.550,0.331,0.046,0.011,0.000,0.645,0.000,0.000,0.000,0.005,0.000,0.001,0.003,6.000,0.449,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.108,0.348,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-alternatives-strategic,Default pass + strategic policy tournament,4800,60.000,2644,33.050,33.050,0.551,0.551,0.665,0.632,0.366,0.503,0.449,0.449,0.000,0.000,0.013,0.003,0.005,0.005,0.195,0.843,0.963,0.376,0.000,0.000,0.000,0.157,0.550,0.331,0.046,0.011,0.000,0.645,0.000,0.000,0.000,0.005,0.000,0.001,0.003,10.000,0.449,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.108,0.348,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-challenge,Default pass + challenge vouchers,4800,60.000,2796,34.950,60.000,0.583,1.000,0.523,0.510,0.305,0.129,0.418,0.000,0.000,0.500,0.387,0.246,0.380,0.533,0.246,0.813,0.855,0.567,0.000,0.000,0.000,0.187,0.000,0.000,0.156,0.453,0.000,0.405,0.000,0.000,0.000,0.380,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.369,0.329,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.089,0.297,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-challenge-party-proportional,Default pass + proportional party challenge vouchers,4800,60.000,2882,36.025,60.000,0.600,1.000,0.523,0.503,0.314,0.125,0.400,0.000,0.000,0.499,0.384,0.239,0.399,0.542,0.251,0.811,0.842,0.581,0.000,0.000,0.000,0.189,0.000,0.000,0.161,0.482,0.000,0.399,0.000,0.000,0.000,0.399,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.365,0.340,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.089,0.302,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-challenge-minority-bonus,Default pass + minority-bonus challenge vouchers,4800,60.000,2534,31.675,60.000,0.528,1.000,0.530,0.528,0.280,0.140,0.472,0.000,0.000,0.563,0.343,0.279,0.327,0.507,0.239,0.819,0.850,0.530,0.000,0.000,0.000,0.181,0.000,0.000,0.146,0.381,0.000,0.422,0.000,0.000,0.000,0.327,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.314,0.270,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.089,0.279,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-challenge-supermajority,Default pass + challenge to 60 percent vote,4800,60.000,2481,31.013,60.000,0.517,1.000,0.518,0.501,0.268,0.130,0.483,0.000,0.000,0.500,0.436,0.383,0.343,0.539,0.246,0.812,0.718,0.573,0.000,0.000,0.000,0.188,0.000,0.000,0.163,0.417,0.000,0.390,0.000,0.000,0.000,0.343,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.381,0.329,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.089,0.259,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-challenge-committee,Default pass + challenge to committee review,4800,60.000,2632,32.900,35.813,0.548,0.597,0.519,0.507,0.284,0.129,0.452,0.000,0.403,0.500,0.407,0.307,0.359,0.532,0.247,0.812,0.802,0.571,0.000,0.000,0.000,0.188,0.000,0.000,0.159,0.436,0.000,0.399,0.000,0.000,0.000,0.359,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.374,0.328,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.108,0.278,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-challenge-info-active,Default pass + challenge to info + active vote,4800,60.000,2783,34.788,60.000,0.580,1.000,0.522,0.512,0.303,0.131,0.420,0.000,0.000,0.500,0.381,0.212,0.374,0.528,0.245,0.819,0.863,0.558,0.000,0.000,0.000,0.181,0.000,0.000,0.156,0.442,0.000,0.402,0.000,0.000,0.000,0.374,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.369,0.324,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.089,0.297,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-adaptive-track,Default pass + adaptive tracks,4800,60.000,1983,24.788,54.463,0.413,0.908,0.561,0.604,0.232,0.171,0.587,0.091,0.001,0.000,0.243,0.200,0.215,0.424,0.194,0.809,0.910,0.363,0.000,0.000,0.000,0.191,0.000,0.000,0.099,0.201,0.000,0.521,0.000,0.000,0.000,0.215,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.297,0.611,0.093,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.090,0.249,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-adaptive-track-lenient,Default pass + adaptive tracks lenient,4800,60.000,2673,33.413,58.775,0.557,0.980,0.545,0.565,0.303,0.144,0.443,0.020,0.000,0.000,0.333,0.091,0.330,0.486,0.209,0.814,0.984,0.408,0.000,0.000,0.000,0.186,0.000,0.000,0.117,0.322,0.000,0.477,0.000,0.000,0.000,0.330,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.512,0.468,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.088,0.315,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-adaptive-track-strict,Default pass + adaptive tracks strict,4800,60.000,1331,16.638,42.563,0.277,0.709,0.590,0.640,0.164,0.215,0.723,0.272,0.018,0.000,0.065,0.370,0.116,0.340,0.198,0.824,0.728,0.364,0.000,0.000,0.000,0.176,0.000,0.000,0.084,0.117,0.000,0.565,0.000,0.000,0.000,0.116,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.088,0.612,0.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.097,0.177,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-adaptive-track-citizen-high-risk,Default pass + adaptive tracks + citizen high-risk,4800,60.000,1979,24.738,60.000,0.412,1.000,0.561,0.603,0.231,0.173,0.588,0.000,0.000,0.000,0.244,0.198,0.212,0.417,0.193,0.807,0.918,0.363,0.000,0.000,0.000,0.193,0.000,0.000,0.099,0.203,0.000,0.519,0.000,0.000,0.000,0.212,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.094,0.000,0.240,0.000,0.000,0.000,0.296,0.610,0.094,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.089,0.248,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-adaptive-track-supermajority-high-risk,Default pass + adaptive tracks + supermajority high-risk,4800,60.000,2011,25.138,60.000,0.419,1.000,0.561,0.600,0.235,0.171,0.581,0.000,0.000,0.000,0.238,0.197,0.215,0.417,0.196,0.808,0.916,0.370,0.000,0.000,0.000,0.192,0.000,0.000,0.101,0.206,0.000,0.517,0.000,0.000,0.000,0.215,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.296,0.611,0.093,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.089,0.251,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-law-registry,Default pass + law registry,4800,60.000,4182,52.275,60.000,0.871,1.000,0.548,0.482,0.477,0.133,0.129,0.000,0.000,0.000,0.401,0.019,0.857,0.611,0.258,0.793,0.995,0.607,0.000,0.000,0.000,0.207,0.000,0.000,0.174,0.805,0.000,0.387,0.586,0.547,5.104,0.857,0.039,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.089,0.420,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-law-registry-fast-review,Default pass + law registry fast review,4800,60.000,4182,52.275,60.000,0.871,1.000,0.549,0.482,0.478,0.134,0.129,0.000,0.000,0.000,0.395,0.021,0.857,0.602,0.258,0.795,1.000,0.610,0.000,0.000,0.000,0.205,0.000,0.000,0.174,0.805,0.000,0.387,0.611,0.335,2.079,0.857,0.045,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.089,0.420,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-law-registry-slow-review,Default pass + law registry slow partial review,4800,60.000,4104,51.300,60.000,0.855,1.000,0.539,0.485,0.461,0.126,0.145,0.000,0.000,0.000,0.426,0.024,0.796,0.620,0.257,0.796,0.984,0.606,0.000,0.000,0.000,0.204,0.000,0.000,0.172,0.770,0.000,0.387,0.554,0.651,8.110,0.796,0.039,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.089,0.415,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-cost,Default pass + proposal costs,4800,60.000,2344,29.300,30.975,0.488,0.516,0.511,0.465,0.249,0.033,0.512,0.484,0.000,0.000,0.496,0.478,0.602,1.114,0.273,0.793,0.438,0.665,0.000,0.000,0.000,0.207,0.000,0.000,0.187,0.482,0.000,0.363,0.000,0.000,0.000,0.602,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.118,0.227,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-cost-public-waiver,Default pass + proposal costs + public waiver,4800,60.000,2622,32.775,34.725,0.546,0.579,0.520,0.486,0.284,0.051,0.454,0.421,0.000,0.000,0.476,0.334,0.622,1.019,0.254,0.793,0.649,0.606,0.000,0.000,0.000,0.207,0.000,0.000,0.174,0.510,0.000,0.389,0.000,0.000,0.000,0.622,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.114,0.265,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-cost-lobby-surcharge,Default pass + lobby-surcharge proposal costs,4800,60.000,2520,31.500,33.675,0.525,0.561,0.523,0.515,0.275,0.066,0.475,0.439,0.000,0.000,0.446,0.305,0.571,0.969,0.194,0.797,0.842,0.421,0.000,0.000,0.000,0.203,0.000,0.000,0.154,0.383,0.000,0.412,0.000,0.000,0.000,0.571,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.112,0.271,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-member-quota,Default pass + member proposal quota,4800,60.000,3999,49.988,59.675,0.833,0.995,0.531,0.489,0.443,0.104,0.167,0.005,0.000,0.000,0.449,0.028,0.673,0.674,0.257,0.801,0.987,0.605,0.000,0.000,0.000,0.199,0.000,0.000,0.170,0.742,0.000,0.390,0.000,0.000,0.000,0.673,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.088,0.407,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-weighted-agenda-lottery,Default pass + weighted agenda lottery,4800,60.000,1951,24.388,28.000,0.406,0.467,0.537,0.543,0.218,0.122,0.594,0.533,0.000,0.000,0.419,0.402,0.305,0.624,0.226,0.817,0.678,0.463,0.000,0.000,0.000,0.183,0.000,0.000,0.140,0.295,0.000,0.444,0.000,0.000,0.000,0.305,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.111,0.221,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-public-objection,Default pass + public objection window,4800,60.000,2155,26.938,60.000,0.449,1.000,0.554,0.583,0.249,0.166,0.551,0.000,0.000,0.000,0.258,0.188,0.226,0.408,0.209,0.811,0.929,0.411,0.000,0.000,0.000,0.189,0.000,0.000,0.105,0.220,0.000,0.500,0.000,0.000,0.000,0.226,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.654,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.089,0.262,0,0
baseline,Baseline,Moderately polarized three-party legislature.,bicameral-majority,Bicameral simple majority,4800,60.000,805,10.063,60.000,0.168,1.000,0.618,0.665,0.104,0.269,0.832,0.000,0.000,0.000,0.000,0.598,0.053,0.249,0.210,0.827,0.483,0.392,0.000,0.000,0.000,0.173,0.000,0.000,0.076,0.066,0.000,0.592,0.000,0.000,0.000,0.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.089,0.111,0,0
baseline,Baseline,Moderately polarized three-party legislature.,presidential-veto,Bicameral majority + presidential veto,4800,60.000,504,6.300,60.000,0.105,1.000,0.629,0.682,0.066,0.300,0.895,0.000,0.000,0.000,0.000,0.729,0.030,0.212,0.201,0.830,0.311,0.363,0.000,0.000,0.000,0.170,0.000,0.000,0.069,0.041,0.000,0.613,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.089,0.072,317,2
low-polarization,Low Polarization,Legislators are less ideologically clustered.,simple-majority,Unicameral simple majority,4800,60.000,2498,31.225,60.000,0.520,1.000,0.635,0.648,0.331,0.279,0.480,0.000,0.000,0.000,0.000,0.167,0.167,0.225,0.220,0.851,0.882,0.402,0.000,0.000,0.000,0.149,0.000,0.000,0.076,0.278,0.000,0.575,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.073,0.337,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,supermajority-60,Unicameral 60 percent passage,4800,60.000,1387,17.338,60.000,0.289,1.000,0.683,0.697,0.197,0.352,0.711,0.000,0.000,0.000,0.000,0.409,0.067,0.158,0.213,0.849,0.595,0.375,0.000,0.000,0.000,0.151,0.000,0.000,0.055,0.135,0.000,0.654,0.000,0.000,0.000,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.073,0.202,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass,Default pass unless 2/3 block,4800,60.000,4072,50.900,60.000,0.848,1.000,0.576,0.578,0.489,0.198,0.152,0.000,0.000,0.000,0.319,0.015,0.397,0.332,0.241,0.838,0.992,0.482,0.000,0.000,0.000,0.162,0.000,0.000,0.112,0.675,0.000,0.477,0.000,0.000,0.000,0.397,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.073,0.490,0,0
