caseKey,caseName,caseDescription,caseWeight,scenarioKey,scenario,totalBills,potentialBillsPerRun,enactedBills,enactedPerRun,floorPerRun,productivity,floor,avgSupport,welfare,cooperation,compromise,gridlock,accessDenied,committeeRejected,challengeRate,lowSupport,popularFail,policyShift,proposerGain,lobbyCapture,publicAlignment,antiLobbyingSuccess,privateGainRatio,lobbySpendPerBill,defensiveLobbyingShare,captureReturnOnSpend,publicPreferenceDistortion,amendmentRate,amendmentMovement,minorityHarm,concentratedHarmPassage,compensationRate,legitimacy,activeLawWelfare,reversalRate,timeToCorrectBadLaw,statusQuoVolatility,lowSupportActiveLawShare,selectedAlternativeMedianDistance,proposerAgendaAdvantage,alternativeDiversity,statusQuoWinRate,publicBenefitPerLobbyDollar,directLobbySpendShare,agendaLobbySpendShare,informationLobbySpendShare,publicCampaignSpendShare,litigationThreatSpendShare,citizenReviewRate,citizenCertificationRate,citizenLegitimacy,attentionSpendPerBill,objectionWindowRate,repealWindowReversalRate,fastLaneRate,middleLaneRate,highRiskLaneRate,challengeExhaustionRate,falseNegativePassRate,publicWillReviewRate,publicSignalMovement,districtAlignment,crossBlocAdmissionRate,affectedGroupSponsorshipRate,averageCosponsors,proposalBondForfeiture,strategicDecoyRate,proposerAccessGini,welfarePerSubmittedBill,vetoes,overriddenVetoes
party-system-two-party,Weighted Two-Party Baseline,Classic two-party legislature with ideological left/right sorting.,0.250,default-pass-multiround-mediation-challenge,Default pass + multi-round mediation + challenge,7200,60.000,5993,49.942,60.000,0.832,1.000,0.535,0.453,0.445,0.200,0.168,0.000,0.000,0.333,0.320,0.105,0.341,0.369,0.263,0.823,0.890,0.692,0.000,0.000,0.000,0.177,0.724,0.279,0.116,0.836,0.239,0.434,0.000,0.000,0.000,0.341,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.478,0.440,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.056,0.377,0,0
party-system-two-party,Weighted Two-Party Baseline,Classic two-party legislature with ideological left/right sorting.,0.250,default-pass-alternatives-pairwise,Default pass + pairwise policy tournament,7200,60.000,3989,33.242,33.242,0.554,0.554,0.666,0.635,0.369,0.486,0.446,0.446,0.000,0.000,0.014,0.002,0.006,0.005,0.195,0.840,0.958,0.372,0.000,0.000,0.000,0.160,0.554,0.341,0.046,0.022,0.000,0.647,0.000,0.000,0.000,0.006,0.000,0.001,0.003,6.000,0.446,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.085,0.352,0,0
party-system-two-party,Weighted Two-Party Baseline,Classic two-party legislature with ideological left/right sorting.,0.250,default-pass-alternatives-strategic,Default pass + strategic policy tournament,7200,60.000,3989,33.242,33.242,0.554,0.554,0.665,0.635,0.369,0.486,0.446,0.446,0.000,0.000,0.015,0.002,0.006,0.005,0.195,0.840,0.958,0.372,0.000,0.000,0.000,0.160,0.554,0.341,0.046,0.022,0.000,0.647,0.000,0.000,0.000,0.006,0.000,0.001,0.003,10.000,0.446,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.085,0.352,0,0
party-system-two-party,Weighted Two-Party Baseline,Classic two-party legislature with ideological left/right sorting.,0.250,default-pass-adaptive-proposers,Default pass + adaptive proposers,7200,60.000,6231,51.925,60.000,0.865,1.000,0.526,0.487,0.456,0.114,0.135,0.000,0.000,0.000,0.451,0.016,0.596,0.618,0.260,0.807,0.998,0.621,0.000,0.000,0.000,0.193,1.000,0.084,0.171,0.803,0.000,0.392,0.000,0.000,0.000,0.596,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.056,0.421,0,0
party-system-two-party,Weighted Two-Party Baseline,Classic two-party legislature with ideological left/right sorting.,0.250,default-pass-adaptive-proposers-lobbying,Default pass + adaptive proposers + strategic lobbying,7200,60.000,6218,51.817,60.000,0.864,1.000,0.526,0.487,0.454,0.113,0.136,0.000,0.000,0.000,0.444,0.012,0.598,0.622,0.260,0.808,0.998,0.622,0.102,0.568,2.199,0.192,1.000,0.084,0.171,0.804,0.000,0.393,0.000,0.000,0.000,0.598,0.000,0.000,0.000,0.000,0.000,4.119,0.187,0.164,0.213,0.305,0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.056,0.421,0,0
party-system-two-party,Weighted Two-Party Baseline,Classic two-party legislature with ideological left/right sorting.,0.250,default-pass-strategic-lobbying,Default pass + strategic lobbying,7200,60.000,6049,50.408,60.000,0.840,1.000,0.532,0.491,0.447,0.100,0.160,0.000,0.000,0.000,0.452,0.024,0.686,0.683,0.259,0.798,0.995,0.606,0.100,0.580,2.170,0.202,0.000,0.000,0.168,0.747,0.000,0.391,0.000,0.000,0.000,0.686,0.000,0.000,0.000,0.000,0.000,4.116,0.184,0.163,0.217,0.306,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.056,0.412,0,0
party-system-two-party,Weighted Two-Party Baseline,Classic two-party legislature with ideological left/right sorting.,0.250,default-pass-challenge,Default pass + challenge vouchers,7200,60.000,5250,43.750,60.000,0.729,1.000,0.516,0.486,0.376,0.107,0.271,0.000,0.000,0.333,0.430,0.155,0.535,0.599,0.256,0.804,0.895,0.602,0.000,0.000,0.000,0.196,0.000,0.000,0.171,0.669,0.000,0.382,0.000,0.000,0.000,0.535,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.511,0.467,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.056,0.355,0,0
party-system-two-party,Weighted Two-Party Baseline,Classic two-party legislature with ideological left/right sorting.,0.250,default-pass-challenge-party-proportional,Default pass + proportional party challenge vouchers,7200,60.000,5265,43.875,60.000,0.731,1.000,0.516,0.487,0.377,0.108,0.269,0.000,0.000,0.333,0.426,0.151,0.534,0.594,0.257,0.803,0.886,0.603,0.000,0.000,0.000,0.197,0.000,0.000,0.171,0.662,0.000,0.382,0.000,0.000,0.000,0.534,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.509,0.467,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.056,0.356,0,0
party-system-two-party,Weighted Two-Party Baseline,Classic two-party legislature with ideological left/right sorting.,0.250,default-pass-challenge-minority-bonus,Default pass + minority-bonus challenge vouchers,7200,60.000,5201,43.342,60.000,0.722,1.000,0.516,0.490,0.373,0.108,0.278,0.000,0.000,0.350,0.427,0.153,0.527,0.596,0.255,0.804,0.901,0.597,0.000,0.000,0.000,0.196,0.000,0.000,0.169,0.644,0.000,0.384,0.000,0.000,0.000,0.527,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.495,0.457,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.056,0.354,0,0
party-system-two-party,Weighted Two-Party Baseline,Classic two-party legislature with ideological left/right sorting.,0.250,default-pass-challenge-supermajority,Default pass + challenge to 60 percent vote,7200,60.000,4911,40.925,60.000,0.682,1.000,0.511,0.479,0.349,0.105,0.318,0.000,0.000,0.333,0.464,0.245,0.509,0.607,0.260,0.802,0.778,0.617,0.000,0.000,0.000,0.198,0.000,0.000,0.177,0.648,0.000,0.371,0.000,0.000,0.000,0.509,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.516,0.467,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.056,0.327,0,0
