groupType,groupValue,billCount,actionCount,recordedVoteCount,meanActions,medianActions,publicLawCount,privateLawCount,sourceDateAnomalyCount,referredCount,referredRate,hearingCount,hearingRate,markupCount,markupRate,orderedReportedCount,orderedReportedRate,reportedCount,reportedRate,dischargedCount,dischargedRate,committeeAdvancedCount,committeeAdvancedRate,floorConsideredCount,floorConsideredRate,originPassageCount,originPassageRate,completedCongressionalPassageCount,completedCongressionalPassageRate,presentedCount,presentedRate,vetoedCount,vetoedRate,vetoOverriddenCount,vetoOverriddenRate,enactedCount,enactedRate
policy_area,Foreign Trade and International Finance,195,776,9,3.979487,3.000000,4,0,0,192,0.984615,3,0.015385,6,0.030769,6,0.030769,4,0.020513,3,0.015385,6,0.030769,8,0.041026,8,0.041026,4,0.020513,4,0.020513,0,0.000000,0,0.000000,4,0.020513
policy_area,Social Welfare,184,746,2,4.054348,4.000000,2,0,0,182,0.989130,0,0.000000,3,0.016304,3,0.016304,3,0.016304,2,0.010870,4,0.021739,4,0.021739,4,0.021739,2,0.010870,2,0.010870,0,0.000000,0,0.000000,2,0.010870
policy_area,Emergency Management,178,1410,20,7.921348,4.000000,11,0,0,177,0.994382,1,0.005618,53,0.297753,53,0.297753,52,0.292135,29,0.162921,55,0.308989,36,0.202247,35,0.196629,11,0.061798,11,0.061798,0,0.000000,0,0.000000,11,0.061798
policy_area,Law,163,832,7,5.104294,4.000000,6,0,0,162,0.993865,2,0.012270,22,0.134969,22,0.134969,13,0.079755,8,0.049080,24,0.147239,13,0.079755,13,0.079755,6,0.036810,6,0.036810,0,0.000000,0,0.000000,6,0.036810
policy_area,Congress,154,744,10,4.831169,4.000000,6,0,0,149,0.967532,1,0.006494,8,0.051948,8,0.051948,5,0.032468,3,0.019481,12,0.077922,13,0.084416,13,0.084416,6,0.038961,6,0.038961,0,0.000000,0,0.000000,6,0.038961
policy_area,Economics and Public Finance,153,1069,72,6.986928,3.000000,11,0,1,143,0.934641,2,0.013072,5,0.032680,5,0.032680,22,0.143791,2,0.013072,23,0.150327,13,0.084967,13,0.084967,11,0.071895,11,0.071895,0,0.000000,0,0.000000,11,0.071895
policy_area,Water Resources Development,110,469,2,4.263636,4.000000,0,0,0,110,1.000000,27,0.245455,4,0.036364,4,0.036364,5,0.045455,1,0.009091,5,0.045455,1,0.009091,1,0.009091,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000
policy_area,Families,107,405,3,3.785047,3.000000,0,0,0,107,1.000000,0,0.000000,4,0.037383,4,0.037383,4,0.037383,3,0.028037,6,0.056075,6,0.056075,6,0.056075,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000
policy_area,"Civil Rights and Liberties, Minority Issues",97,518,11,5.340206,4.000000,4,0,0,97,1.000000,2,0.020619,5,0.051546,5,0.051546,4,0.041237,5,0.051546,7,0.072165,7,0.072165,7,0.072165,4,0.041237,4,0.041237,0,0.000000,0,0.000000,4,0.041237
policy_area,Animals,65,317,3,4.876923,4.000000,1,0,0,65,1.000000,10,0.153846,6,0.092308,6,0.092308,6,0.092308,2,0.030769,6,0.092308,3,0.046154,3,0.046154,1,0.015385,1,0.015385,0,0.000000,0,0.000000,1,0.015385
policy_area,Unclassified,55,266,0,4.836364,3.000000,0,3,0,44,0.800000,0,0.000000,5,0.090909,5,0.090909,5,0.090909,5,0.090909,5,0.090909,5,0.090909,5,0.090909,3,0.054545,3,0.054545,0,0.000000,0,0.000000,3,0.054545
policy_area,"Arts, Culture, Religion",33,198,2,6.000000,3.000000,2,0,0,33,1.000000,5,0.151515,3,0.090909,3,0.090909,3,0.090909,5,0.151515,5,0.151515,5,0.151515,5,0.151515,2,0.060606,2,0.060606,0,0.000000,0,0.000000,2,0.060606
policy_area,Sports and Recreation,33,157,3,4.757576,3.000000,2,0,0,33,1.000000,0,0.000000,1,0.030303,1,0.030303,1,0.030303,1,0.030303,2,0.060606,3,0.090909,3,0.090909,2,0.060606,2,0.060606,0,0.000000,0,0.000000,2,0.060606
policy_area,Private Legislation,17,65,0,3.823529,4.000000,0,0,0,17,1.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000
policy_area,Social Sciences and History,4,19,0,4.750000,3.000000,0,0,0,4,1.000000,1,0.250000,1,0.250000,1,0.250000,1,0.250000,1,0.250000,1,0.250000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000
